index,source,destination,hops,fail count,delay
0,SAT-56-20,SAT-2-0,21,0,45.808688081290654
1,SAT-49-9,SAT-69-13,25,0,62.572154113308535
2,SAT-24-21,SAT-28-11,15,0,70.59455910857454
3,SAT-50-2,SAT-52-19,8,0,36.041367843167315
4,SAT-1-6,SAT-14-9,17,0,35.723321283950646
5,SAT-7-19,SAT-5-17,5,0,15.900489323884582
6,SAT-18-20,SAT-50-2,37,0,84.33341359776117
7,SAT-24-21,SAT-5-0,21,0,43.83264284793529
8,SAT-1-6,SAT-49-9,28,0,52.911332490097934
9,SAT-14-9,SAT-10-12,8,0,26.963353628932175
10,SAT-40-21,SAT-18-20,24,0,46.53467552963768
11,SAT-5-0,SAT-56-20,24,0,51.28434267248949
12,SAT-5-17,SAT-41-17,59,0,188.81231066150426
13,SAT-28-11,SAT-35-19,16,0,61.155129558696295
14,SAT-49-9,SAT-21-0,38,0,93.59316556240937
15,SAT-34-1,SAT-29-8,13,0,52.89177281015337
16,SAT-9-14,SAT-16-11,11,0,30.91359426424287
17,SAT-10-20,SAT-70-4,19,0,55.96751046984073
18,SAT-28-11,SAT-5-0,35,0,103.98785841489622
19,SAT-55-3,SAT-29-17,35,0,88.55127009560377
20,SAT-13-0,SAT-25-5,18,0,49.3918886812167
21,SAT-28-11,SAT-59-11,46,0,134.70931961756597
22,SAT-2-0,SAT-20-14,27,0,74.69556785694843
23,SAT-16-11,SAT-10-20,16,0,66.48576465920222
24,SAT-3-17,SAT-29-17,45,0,154.07500638113035
25,SAT-9-16,SAT-58-7,33,0,90.8197446106692
26,SAT-51-9,SAT-35-0,26,0,81.16519704175035
27,SAT-2-9,SAT-49-9,36,0,100.14459341114654
28,SAT-45-4,SAT-15-21,36,0,74.20866562787123
29,SAT-8-4,SAT-18-20,17,0,53.190650640317884
30,SAT-13-0,SAT-59-11,38,0,108.07030986070593
31,SAT-20-14,SAT-7-19,19,0,50.87231174510747
32,SAT-35-15,SAT-65-2,40,0,100.72907179242759
33,SAT-14-9,SAT-61-1,34,0,86.99263468370656
34,SAT-35-0,SAT-1-7,42,0,93.14711345671141
35,SAT-49-9,SAT-34-1,24,0,73.19661073647107
36,SAT-18-20,SAT-53-1,39,0,83.40814430515323
37,SAT-47-2,SAT-27-19,26,0,65.04721644716602
38,SAT-35-0,SAT-43-11,20,0,83.25199708817608
39,SAT-52-14,SAT-17-7,43,0,94.56206279497006
40,SAT-50-2,SAT-3-17,33,0,80.69662268021169
41,SAT-21-0,SAT-8-4,18,0,44.165675259549246
42,SAT-41-17,SAT-29-8,22,0,75.62078162551659
43,SAT-31-0,SAT-17-7,22,0,65.41464114574134
44,SAT-61-17,SAT-52-19,12,0,25.636252713152885
45,SAT-9-4,SAT-61-1,24,0,47.22250417528091
46,SAT-65-2,SAT-49-9,24,0,68.20566550592659
47,SAT-41-17,SAT-22-21,24,0,52.676599162217286
48,SAT-45-13,SAT-52-19,14,0,49.12879815776039
49,SAT-29-0,SAT-45-5,22,0,54.85066059884121
50,SAT-13-16,SAT-43-4,41,0,107.38903580090565
51,SAT-25-18,SAT-35-19,12,0,20.474729778466564
52,SAT-69-13,SAT-24-21,36,0,90.08372558288526
53,SAT-43-20,SAT-60-6,26,0,75.91309870577041
54,SAT-52-14,SAT-31-0,30,0,81.73873169856284
55,SAT-17-7,SAT-52-14,43,0,94.67135100050379
56,SAT-24-21,SAT-45-13,30,0,81.39874008807874
57,SAT-5-0,SAT-66-8,20,0,67.83901167157698
58,SAT-67-9,SAT-37-10,32,0,61.257889465479444
59,SAT-51-9,SAT-16-1,44,0,100.6437314111742
60,SAT-55-3,SAT-16-20,39,0,85.440706830277
61,SAT-61-18,SAT-16-11,35,0,83.05968431016903
62,SAT-58-1,SAT-13-16,37,0,96.19249758602679
63,SAT-29-18,SAT-56-4,36,0,89.62609094809908
64,SAT-57-3,SAT-69-4,14,0,23.053001235557975
65,SAT-5-0,SAT-58-1,21,0,43.72686179575252
66,SAT-29-0,SAT-9-4,25,0,53.72811905666824
67,SAT-35-0,SAT-29-18,11,0,34.62471571875931
68,SAT-33-19,SAT-5-11,37,0,90.97874261036566
69,SAT-61-7,SAT-69-0,16,0,56.949843467486154
70,SAT-53-4,SAT-63-4,11,0,13.723674691438214
71,SAT-47-2,SAT-15-21,36,0,77.46963794173641
72,SAT-65-3,SAT-50-2,17,0,30.453242634844095
73,SAT-61-17,SAT-45-13,21,0,48.22350605801864
74,SAT-49-10,SAT-52-19,13,0,63.27955932659375
75,SAT-58-7,SAT-61-1,10,0,43.51327408838958
76,SAT-33-19,SAT-15-5,27,0,77.22025866831369
77,SAT-8-2,SAT-34-11,36,0,95.361224342987
78,SAT-11-3,SAT-50-2,35,0,59.08862138698327
79,SAT-3-17,SAT-70-18,7,0,13.54016906131824
80,SAT-53-4,SAT-34-4,20,0,26.046273197472377
81,SAT-31-16,SAT-22-14,12,0,25.470521632555357
82,SAT-49-10,SAT-7-19,40,0,100.96384147965067
83,SAT-41-17,SAT-2-9,42,0,97.76951707799225
84,SAT-11-6,SAT-43-20,41,0,96.39866059391572
85,SAT-31-9,SAT-68-3,42,0,87.35203313805827
86,SAT-48-6,SAT-43-18,16,0,72.51457970936372
87,SAT-62-15,SAT-42-12,24,0,47.10127323406471
88,SAT-15-21,SAT-2-2,17,0,43.140274986592765
89,SAT-53-1,SAT-61-18,14,0,44.002651132372144
90,SAT-25-18,SAT-24-21,5,0,21.096335947798085
91,SAT-14-9,SAT-69-13,22,0,56.90699943313032
92,SAT-61-18,SAT-68-6,18,0,75.24951618002055
93,SAT-70-18,SAT-52-14,23,0,50.91392603929702
94,SAT-4-10,SAT-31-9,29,0,55.91973027562045
95,SAT-34-12,SAT-43-11,11,0,24.14650217033117
96,SAT-66-15,SAT-49-10,23,0,56.0982060931296
