S1_id,S1_lat,S1_lon,S1_alt,S2_id,S2_lat,S2_lon,S2_alt,link direction,gap of angle (rad),time,distance
SAT-0-4,46.59382974774859,52.8150960177009,550,SAT-71-4,46.59382974774859,47.81509601770091,550,left,0.0001393078408454288,100,414.8966356490387
SAT-0-4,46.59382974774859,52.8150960177009,550,SAT-1-4,46.59382974774859,57.815096017700895,550,right,0.00013930784004847222,100,414.8966356490377
SAT-0-5,52.234036643811585,76.57350115260914,550,SAT-71-5,52.234036643811585,71.57350115260917,550,left,0.00017538313015569884,100,369.7772760802039
SAT-0-5,52.234036643811585,76.57350115260914,550,SAT-1-5,52.234036643811585,81.57350115260914,550,right,0.0001753831288896443,100,369.77727608020354
SAT-0-6,52.23171209846406,103.4465957473507,550,SAT-71-6,52.23171209846406,98.44659574735068,550,left,0.00017537394595568075,100,369.7966402672218
SAT-0-6,52.23171209846406,103.4465957473507,550,SAT-1-6,52.23171209846406,108.44659574735068,550,right,0.0001753739446895599,100,369.79664026722133
SAT-0-7,46.587782503989146,127.20086659457655,550,SAT-71-7,46.587782503989146,122.2008665945765,550,left,0.00013929229773076496,100,414.9429299564535
SAT-0-7,46.587782503989146,127.20086659457655,550,SAT-1-7,46.587782503989146,132.20086659457655,550,right,0.00013929230091894702,100,414.94292995645327
SAT-0-15,-46.59382974774859,232.8150960177009,550,SAT-71-15,-46.59382974774859,227.8150960177009,550,left,0.000139307842439342,100,414.8966356490381
SAT-0-15,-46.59382974774859,232.8150960177009,550,SAT-1-15,-46.59382974774859,237.81509601770088,550,right,0.00013930784004847222,100,414.8966356490377
SAT-0-16,-52.234036643811585,256.57350115260914,550,SAT-71-16,-52.234036643811585,251.57350115260917,550,left,0.0001753831288896443,100,369.777276080204
SAT-0-16,-52.234036643811585,256.57350115260914,550,SAT-1-16,-52.234036643811585,261.5735011526091,550,right,0.0001753831288896443,100,369.77727608020354
SAT-0-17,-52.23171209846406,283.44659574735067,550,SAT-71-17,-52.23171209846406,278.44659574735067,550,left,0.0001753739446895599,100,369.7966402672218
SAT-0-17,-52.23171209846406,283.44659574735067,550,SAT-1-17,-52.23171209846406,288.44659574735067,550,right,0.0001753739446895599,100,369.7966402672213
SAT-0-18,-46.58778250398918,307.20086659457644,550,SAT-71-18,-46.58778250398918,302.2008665945765,550,left,0.00013929229773076496,100,414.94292995645424
SAT-0-18,-46.58778250398918,307.20086659457644,550,SAT-1-18,-46.58778250398918,312.20086659457644,550,right,0.000139292299324856,100,414.9429299564526
SAT-1-4,46.59382974774859,57.815096017700895,550,SAT-0-4,46.59382974774859,52.8150960177009,550,left,0.00013930784004847222,100,414.8966356490377
SAT-1-4,46.59382974774859,57.815096017700895,550,SAT-2-4,46.59382974774859,62.8150960177009,550,right,0.000139307842439342,100,414.89663564903793
SAT-1-5,52.234036643811585,81.57350115260914,550,SAT-0-5,52.234036643811585,76.57350115260914,550,left,0.0001753831288896443,100,369.77727608020354
SAT-1-5,52.234036643811585,81.57350115260914,550,SAT-2-5,52.234036643811585,86.57350115260914,550,right,0.00017538313015569884,100,369.77727608020336
SAT-1-6,52.23171209846406,108.44659574735068,550,SAT-0-6,52.23171209846406,103.4465957473507,550,left,0.0001753739446895599,100,369.79664026722133
