S1_id,S1_lat,S1_lon,S1_alt,S2_id,S2_lat,S2_lon,S2_alt,link direction,gap of angle (rad),time,distance
SAT-36-15,-48.78856869578172,59.3650570110784,550,SAT-37-15,-48.78856869578172,64.36505701107839,550,right,0.0001515449252378011,78700,397.7938621475878
SAT-40-5,52.87767182731343,284.605140478875,550,SAT-39-5,52.87767182731343,279.60514047887506,550,left,0.00018060781728682435,78700,364.392291609199
SAT-40-5,52.87767182731343,284.605140478875,550,SAT-41-5,52.87767182731343,289.605140478875,550,right,0.00018060781728682435,78700,364.392291609199
SAT-41-17,-51.06119462395593,136.1567332843912,550,SAT-40-17,-51.06119462395593,131.1567332843912,550,left,0.00016654936694576356,78700,379.4694176198216
SAT-41-17,-51.06119462395593,136.1567332843912,550,SAT-42-17,-51.06119462395593,141.1567332843912,550,right,0.00016654936694576356,78700,379.46941761982146
SAT-44-7,44.0489251806897,353.20212457887646,550,SAT-43-7,44.0489251806897,348.2021245788765,550,left,0.00012734930606384323,78700,433.9643642851148
SAT-44-7,44.0489251806897,353.20212457887646,550,SAT-45-7,44.0489251806897,358.20212457887646,550,right,0.0001273493078074303,78700,433.96436428511305
SAT-46-15,-48.78856869578172,109.36505701107845,550,SAT-45-15,-48.78856869578172,104.36505701107835,550,left,0.00015154492670300758,78700,397.79386214758824
SAT-46-15,-48.78856869578172,109.36505701107845,550,SAT-47-15,-48.78856869578172,114.36505701107833,550,right,0.00015154492670300758,78700,397.7938621475879
SAT-49-15,-48.78856869578172,124.36505701107832,550,SAT-48-15,-48.78856869578172,119.36505701107843,550,left,0.00015154492670300758,78700,397.7938621475873
SAT-49-15,-48.78856869578172,124.36505701107832,550,SAT-50-15,-48.78856869578172,129.36505701107842,550,right,0.00015154492816821404,78700,397.79386214758915
SAT-51-7,44.0489251806897,28.202124578876553,550,SAT-50-7,44.0489251806897,23.202124578876457,550,left,0.0001273493078074303,78700,433.9643642851174
SAT-51-7,44.0489251806897,28.202124578876553,550,SAT-52-7,44.0489251806897,33.20212457887655,550,right,0.00012734930606384323,78700,433.96436428511237
SAT-51-18,-44.048925180696024,208.20212457886302,550,SAT-50-18,-44.048925180696024,203.20212457886302,550,left,0.0001273493078074303,78700,433.964364285071
SAT-51-18,-44.048925180696024,208.20212457886302,550,SAT-52-18,-44.048925180696024,213.2021245788631,550,right,0.00012734930606384323,78700,433.9643642850663
SAT-54-5,52.87767182731343,354.60514047887506,550,SAT-53-5,52.87767182731343,349.60514047887506,550,left,0.00018060781728682435,78700,364.392291609199
SAT-54-5,52.87767182731343,354.60514047887506,550,SAT-55-5,52.87767182731343,359.60514047887506,550,right,0.0001806078160573947,78700,364.392291609199
SAT-56-17,-51.06119462395593,211.15673328439124,550,SAT-55-17,-51.06119462395593,206.15673328439124,550,left,0.00016654936827896952,78700,379.4694176198216
SAT-56-17,-51.06119462395593,211.15673328439124,550,SAT-57-17,-51.06119462395593,216.15673328439124,550,right,0.00016654936827896952,78700,379.469417619822
SAT-61-15,-48.78856869578172,184.36505701107845,550,SAT-60-15,-48.78856869578172,179.36505701107836,550,left,0.0001515449252378011,78700,397.7938621475876
SAT-61-15,-48.78856869578172,184.36505701107845,550,SAT-62-15,-48.78856869578172,189.36505701107836,550,right,0.00015154492670300758,78700,397.7938621475881
SAT-65-5,52.87767182731343,49.605140478875036,550,SAT-64-5,52.87767182731343,44.60514047887504,550,left,0.00018060781728682435,78700,364.39229160919973
SAT-65-5,52.87767182731343,49.605140478875036,550,SAT-66-5,52.87767182731343,54.60514047887503,550,right,0.0001806078160573947,78700,364.39229160919837
