index,source,destination,hops,fail count,delay,overhead_signal
0,SAT-57-12,SAT-42-0,26,0,84.15341411409665,0
1,SAT-20-9,SAT-66-3,33,0,71.44664256790129,0
2,SAT-16-10,SAT-25-3,17,0,57.05845510638736,0
3,SAT-59-21,SAT-40-6,27,0,69.3846869295893,0
4,SAT-12-0,SAT-70-12,25,0,82.92079093177647,0
5,SAT-39-18,SAT-16-10,32,1,84.32403539446878,13
6,SAT-49-19,SAT-40-6,37,10,189.74752144020943,130
7,SAT-37-15,SAT-52-7,24,0,73.26567633671792,0
8,SAT-12-0,SAT-47-16,112,35,547.4272253602894,455
9,SAT-20-9,SAT-49-3,36,1,79.48499141192316,13
10,SAT-70-12,SAT-21-7,29,0,64.67808932422261,0
11,SAT-40-6,SAT-2-20,43,0,94.4186530289898,0
12,SAT-52-7,SAT-57-12,11,0,39.755088871076296,0
13,SAT-12-15,SAT-62-18,26,0,46.80283163032343,0
14,SAT-66-3,SAT-38-10,36,0,80.46035228655066,0
15,SAT-34-9,SAT-62-18,38,2,97.88844727139227,26
16,SAT-12-0,SAT-16-5,14,2,64.63920081708274,26
17,SAT-59-21,SAT-39-18,24,0,47.40692529237944,0
18,SAT-42-2,SAT-39-15,13,1,63.23992740193036,13
19,SAT-47-16,SAT-16-17,95,32,456.6305615263644,416
20,SAT-36-3,SAT-18-2,20,0,35.387679324449685,0
21,SAT-25-3,SAT-0-2,27,0,46.595952035874255,0
22,SAT-12-19,SAT-28-18,18,0,28.7449733025296,0
23,SAT-59-20,SAT-39-18,23,0,40.85602160660903,0
24,SAT-56-7,SAT-59-21,12,1,56.671216976327656,13
25,SAT-42-2,SAT-52-7,16,2,46.70139892671009,26
26,SAT-28-16,SAT-47-16,58,19,275.72865278551376,247
27,SAT-62-18,SAT-0-2,17,0,53.26780556463935,0
28,SAT-59-20,SAT-44-14,22,1,60.08675604668811,13
29,SAT-40-6,SAT-39-15,11,1,60.4845963150707,13
30,SAT-2-20,SAT-29-20,28,0,49.12795453503619,0
31,SAT-59-7,SAT-54-9,8,0,20.071381951035683,0
32,SAT-69-7,SAT-20-9,26,0,45.050229181673956,0
33,SAT-39-15,SAT-42-2,13,2,63.10381582681924,26
34,SAT-25-20,SAT-56-7,41,2,102.116785527464,26
35,SAT-29-13,SAT-44-14,17,0,30.54489276515479,0
36,SAT-15-7,SAT-62-18,37,2,106.94277039541132,26
37,SAT-56-7,SAT-12-19,39,1,104.23940062762871,13
38,SAT-2-8,SAT-30-16,41,2,117.6746527187237,26
39,SAT-57-12,SAT-0-2,26,1,86.32942401233001,13
40,SAT-49-19,SAT-59-21,13,0,29.249098804418793,0
41,SAT-57-12,SAT-24-17,105,34,512.0608158963975,442
42,SAT-25-20,SAT-52-7,37,2,96.6079780532475,26
43,SAT-37-15,SAT-12-19,30,2,60.99740276642292,26
44,SAT-0-0,SAT-53-16,54,14,248.68538004130792,182
45,SAT-24-7,SAT-59-21,44,1,100.69700056104764,13
46,SAT-46-9,SAT-12-3,41,1,86.04167171280095,13
47,SAT-20-9,SAT-38-0,28,1,83.86861557670747,13
48,SAT-56-7,SAT-59-7,4,0,4.170153570078957,0
49,SAT-34-9,SAT-54-9,21,0,36.43308418473508,0
50,SAT-13-12,SAT-71-5,50,14,249.0798698823928,182
51,SAT-57-2,SAT-60-2,4,0,5.424606664623709,0
52,SAT-16-17,SAT-54-9,43,1,99.29494430810468,13
53,SAT-59-7,SAT-52-8,9,0,16.302232836304896,0
54,SAT-40-1,SAT-13-1,28,0,52.83979510499993,0
55,SAT-22-18,SAT-14-5,22,2,96.49620161536791,26
56,SAT-38-0,SAT-43-4,10,0,33.138837738537674,0
57,SAT-20-9,SAT-8-10,14,0,28.442999768949427,0
58,SAT-40-6,SAT-16-5,70,22,328.1888560886103,286
59,SAT-57-2,SAT-54-14,14,1,69.78799309138546,13
60,SAT-5-5,SAT-36-9,36,2,69.42994869027477,26
61,SAT-71-11,SAT-59-21,23,2,82.37283623938045,26
62,SAT-54-14,SAT-12-3,42,2,114.00239766743958,26
63,SAT-52-9,SAT-30-16,34,2,102.8632177607154,26
64,SAT-53-3,SAT-0-0,23,0,49.989062312938536,0
65,SAT-51-18,SAT-21-10,39,1,93.72499186086065,13
66,SAT-59-21,SAT-5-9,29,2,90.74133388041824,26
67,SAT-39-15,SAT-66-3,38,2,103.27996763097936,26
68,SAT-43-13,SAT-7-9,41,0,91.28328828548645,0
69,SAT-0-12,SAT-28-18,35,2,78.40752260710255,26
70,SAT-10-11,SAT-0-2,20,1,72.82133443280232,13
71,SAT-71-14,SAT-70-12,4,0,14.72526900898707,0
72,SAT-34-9,SAT-29-13,10,0,35.29225436858443,0
73,SAT-62-18,SAT-66-3,12,0,51.540712579145094,0
74,SAT-51-8,SAT-24-7,29,0,44.20350290499338,0
75,SAT-63-9,SAT-13-2,30,1,76.14029771146711,13
76,SAT-60-2,SAT-5-9,25,2,69.67563870502798,26
77,SAT-49-3,SAT-67-1,21,0,41.78129404806977,0
78,SAT-16-17,SAT-48-5,47,2,136.40474307346568,26
79,SAT-45-20,SAT-61-15,22,1,54.7778159139819,13
80,SAT-33-11,SAT-38-5,22,5,111.91678862725729,65
81,SAT-3-11,SAT-69-7,11,0,34.638862899374026,0
82,SAT-51-7,SAT-17-5,105,34,506.25758511369565,442
83,SAT-27-17,SAT-64-19,38,1,61.97669197052611,13
84,SAT-44-14,SAT-67-10,28,0,62.85192565125001,0
85,SAT-49-3,SAT-51-18,10,0,48.757500951187204,0
86,SAT-24-21,SAT-20-19,7,0,19.61058241302434,0
87,SAT-42-0,SAT-42-2,3,0,13.132813275858567,0
88,SAT-2-20,SAT-21-10,30,1,91.69601703355558,13
89,SAT-16-3,SAT-48-5,39,2,84.08091159847645,26
90,SAT-71-12,SAT-56-10,18,0,42.43919809566202,0
91,SAT-16-17,SAT-71-14,21,1,42.97816942983541,13
92,SAT-37-12,SAT-53-16,25,2,74.88510964759384,26
93,SAT-67-20,SAT-10-11,25,1,79.63790931434812,13
94,SAT-49-3,SAT-67-10,26,2,71.11293507768458,26
95,SAT-56-10,SAT-69-0,24,1,83.45584565842626,13
96,SAT-33-11,SAT-24-17,28,7,130.28800682625575,91
97,SAT-25-21,SAT-70-10,39,2,109.97392852175,26
98,SAT-67-9,SAT-8-10,15,0,30.33807495442405,0
99,SAT-52-7,SAT-39-15,22,0,70.32303238256803,0
100,SAT-12-3,SAT-51-7,38,2,72.42260820506414,26
101,SAT-28-20,SAT-15-7,23,2,77.28071311995632,26
102,SAT-1-3,SAT-0-11,10,2,53.92994951717236,26
103,SAT-68-14,SAT-63-6,34,10,190.69862573769657,130
104,SAT-20-19,SAT-25-3,12,0,47.334504302049666,0
105,SAT-1-3,SAT-48-5,32,2,74.38563961738697,26
