index,source,destination,hops,fail count,delay
0,SAT-17-14,SAT-19-10,7,0,29.47496120523792
1,SAT-25-18,SAT-13-0,17,0,42.862417801955814
2,SAT-1-19,SAT-2-1,6,0,27.870293878477714
3,SAT-61-10,SAT-71-2,19,0,64.85748492663694
4,SAT-62-21,SAT-41-5,28,0,65.2835266563003
5,SAT-38-21,SAT-13-0,27,0,55.600927966884534
6,SAT-10-6,SAT-13-3,11,4,51.84665328050265
7,SAT-14-19,SAT-71-2,21,2,62.25274598701997
8,SAT-3-20,SAT-10-4,26,6,131.92498545483616
9,SAT-42-18,SAT-62-21,24,3,58.92683697695227
10,SAT-70-0,SAT-25-18,34,1,130.49603875238387
11,SAT-19-10,SAT-61-7,36,1,69.83023181781608
12,SAT-10-4,SAT-38-21,34,0,71.5147293683418
13,SAT-61-10,SAT-3-20,25,1,82.92989240577276
14,SAT-42-18,SAT-2-1,38,1,84.23711810721531
15,SAT-9-19,SAT-12-15,14,4,71.54352064334965
16,SAT-61-19,SAT-25-1,41,2,96.9031642261212
17,SAT-12-18,SAT-19-10,16,4,66.249979719565
18,SAT-40-1,SAT-71-2,49,8,172.45568139775796
19,SAT-17-14,SAT-14-19,13,5,64.98412121423128
20,SAT-53-1,SAT-13-12,44,3,123.69126194539854
21,SAT-35-20,SAT-15-6,33,3,110.95987273526197
22,SAT-71-2,SAT-10-6,20,3,70.22089929749502
23,SAT-38-21,SAT-2-1,39,0,83.6720736027763
24,SAT-40-17,SAT-12-18,32,2,64.72741022594178
25,SAT-35-2,SAT-7-5,42,5,140.3250792467581
26,SAT-26-19,SAT-9-5,36,5,151.56497949031788
27,SAT-12-15,SAT-40-17,39,5,120.62585933297005
28,SAT-24-5,SAT-49-7,34,5,101.60428252635991
29,SAT-14-19,SAT-32-3,39,7,166.6607139430938
30,SAT-41-5,SAT-13-0,34,4,87.67371033513103
31,SAT-64-18,SAT-20-12,35,4,94.24011697306037
32,SAT-26-19,SAT-44-21,21,0,42.1108251256482
33,SAT-10-4,SAT-29-3,25,3,70.04602839551109
34,SAT-1-19,SAT-42-18,45,6,146.08085741843928
35,SAT-28-13,SAT-40-4,28,4,121.99489493799045
36,SAT-40-1,SAT-40-8,8,0,45.964846465505374
37,SAT-56-17,SAT-47-6,29,5,142.4348722473643
38,SAT-41-5,SAT-68-15,38,5,118.68350475941328
39,SAT-61-7,SAT-18-10,33,3,76.64602409984204
40,SAT-9-19,SAT-48-21,36,0,66.31655552010692
41,SAT-26-14,SAT-40-8,21,2,66.80810426263042
42,SAT-44-21,SAT-22-18,38,6,141.5684293954537
43,SAT-25-9,SAT-25-20,12,0,72.23047301722319
44,SAT-13-12,SAT-40-1,39,3,115.74444394433559
45,SAT-68-15,SAT-8-0,20,5,69.53811439868001
46,SAT-10-6,SAT-22-18,23,4,89.15325046588856
47,SAT-37-2,SAT-25-1,14,1,30.055590724523505
48,SAT-61-7,SAT-22-18,51,5,176.45539966102916
49,SAT-35-2,SAT-13-0,25,1,56.04780442024118
50,SAT-24-10,SAT-40-1,26,4,90.41013091469738
51,SAT-38-9,SAT-42-1,13,4,60.35937089676797
52,SAT-13-3,SAT-70-0,19,2,49.05466163878798
53,SAT-65-5,SAT-31-17,45,4,132.20306762262763
54,SAT-20-20,SAT-13-0,10,1,26.886517748818076
55,SAT-70-1,SAT-62-21,11,0,28.78581726265253
56,SAT-26-16,SAT-44-21,24,5,68.20544317022689
57,SAT-20-20,SAT-42-1,26,1,62.933387667830665
58,SAT-17-14,SAT-25-20,17,5,68.25276865035892
59,SAT-40-8,SAT-50-5,22,4,91.7967280007147
60,SAT-19-10,SAT-27-21,20,5,87.60451464345307
61,SAT-6-3,SAT-13-12,17,5,72.85659758730417
62,SAT-10-4,SAT-48-21,40,3,99.34351857297672
63,SAT-35-20,SAT-32-1,7,1,25.595907562048527
64,SAT-20-12,SAT-46-1,38,5,123.33509930214362
65,SAT-47-11,SAT-7-5,47,4,154.5157226705027
66,SAT-48-8,SAT-15-20,44,4,129.8434251753611
67,SAT-53-1,SAT-69-0,18,0,37.85942150767517
68,SAT-26-16,SAT-1-19,33,5,95.11320251283865
69,SAT-33-20,SAT-67-19,50,7,164.9937561671506
70,SAT-70-1,SAT-61-10,19,5,76.79440041966413
71,SAT-69-0,SAT-63-19,12,1,70.10840666333036
72,SAT-13-0,SAT-40-3,45,7,164.7191348796993
73,SAT-32-3,SAT-20-12,22,5,82.69331397909778
74,SAT-43-12,SAT-15-20,39,5,120.37112835596034
75,SAT-9-5,SAT-61-19,29,4,91.63116928047599
76,SAT-9-15,SAT-61-10,26,3,71.93194936668803
77,SAT-47-6,SAT-68-7,29,4,87.26498749177141
78,SAT-12-15,SAT-0-4,24,5,95.83055360366167
79,SAT-49-7,SAT-48-8,5,2,21.525047683528925
80,SAT-25-6,SAT-35-13,18,3,64.2300446949693
81,SAT-53-1,SAT-35-20,22,0,52.57657672682494
82,SAT-32-3,SAT-42-18,30,6,144.30757531553053
83,SAT-40-8,SAT-67-19,41,4,134.6793215126362
84,SAT-4-5,SAT-38-20,42,4,112.42073372807118
85,SAT-37-20,SAT-54-10,28,4,98.8850013528048
86,SAT-22-12,SAT-61-12,34,0,64.48769730152141
87,SAT-47-6,SAT-8-0,40,4,103.88613712909772
88,SAT-10-4,SAT-60-0,27,3,69.25742475273186
89,SAT-50-18,SAT-20-12,37,4,98.02361919259572
90,SAT-25-20,SAT-35-2,29,7,136.47432823742872
91,SAT-22-18,SAT-66-6,45,4,156.24373072003007
92,SAT-12-15,SAT-70-1,23,4,78.12186536001519
93,SAT-25-21,SAT-34-6,23,4,101.81439417231115
94,SAT-18-10,SAT-19-21,13,4,74.05837389269317
95,SAT-7-7,SAT-66-6,25,5,97.62394434180426
96,SAT-17-4,SAT-22-18,14,3,62.297972843659224
97,SAT-8-2,SAT-26-19,38,7,159.9219171854622
98,SAT-61-7,SAT-11-8,26,2,59.92819706477792
99,SAT-14-18,SAT-12-0,7,2,29.922806292717336
100,SAT-27-2,SAT-34-5,19,4,85.03541791021871
101,SAT-44-20,SAT-65-18,36,6,132.94117099332482
102,SAT-10-6,SAT-10-15,10,0,59.097659741364346
103,SAT-58-20,SAT-19-10,44,4,130.11067476292945
104,SAT-71-10,SAT-41-4,43,4,137.38470545845703
105,SAT-9-10,SAT-45-20,47,4,131.54279872604462
106,SAT-41-4,SAT-8-0,38,3,90.69844748630645
107,SAT-20-17,SAT-50-20,34,3,74.59816353608048
108,SAT-56-17,SAT-33-12,29,4,77.58750205666362
109,SAT-35-10,SAT-40-0,16,4,75.42661500574589
110,SAT-61-5,SAT-14-18,35,4,107.89992335879388
111,SAT-22-12,SAT-2-5,36,4,137.5379104628829
112,SAT-51-5,SAT-35-14,26,4,88.3880710218765
113,SAT-19-10,SAT-7-5,26,4,108.78837282944716
114,SAT-9-10,SAT-0-15,25,5,114.97195591422758
115,SAT-40-3,SAT-26-14,26,4,97.86917131365298
116,SAT-14-19,SAT-21-16,19,4,85.89216292000737
117,SAT-65-13,SAT-13-0,30,4,95.72437159340686
118,SAT-14-14,SAT-13-19,9,4,47.79618205810661
119,SAT-2-1,SAT-25-16,39,4,143.23163697403277
120,SAT-20-12,SAT-35-2,28,4,108.06560041497528
121,SAT-44-21,SAT-47-5,18,4,97.42575127502073
122,SAT-23-6,SAT-27-12,11,3,46.72651761958935
123,SAT-3-19,SAT-8-0,9,1,28.859317153806998
124,SAT-2-7,SAT-60-4,24,4,86.41513245053433
125,SAT-36-2,SAT-20-17,34,5,142.84210867599597
126,SAT-53-1,SAT-49-7,15,4,72.99487545579316
