index,source,destination,hops,fail count,delay,overhead_signal
0,SAT-64-21,SAT-24-18,36,0,63.957329914423646,0
1,SAT-9-2,SAT-70-8,18,0,52.9572948330984,0
2,SAT-13-10,SAT-54-11,33,0,67.35716679699792,0
3,SAT-27-5,SAT-48-17,32,0,91.5491532080179,0
4,SAT-7-9,SAT-48-15,38,0,82.27348389069195,0
5,SAT-48-20,SAT-53-11,15,3,68.17075146730873,39
6,SAT-54-11,SAT-13-10,33,0,67.36921308583375,0
7,SAT-9-1,SAT-37-14,94,30,477.6257451306987,390
8,SAT-11-11,SAT-54-17,98,32,499.18062081399245,416
9,SAT-70-8,SAT-48-15,40,5,151.5816482780917,65
10,SAT-9-1,SAT-48-15,42,0,93.18667067823812,0
11,SAT-8-10,SAT-13-10,6,0,9.808840202645891,0
12,SAT-23-5,SAT-53-18,40,0,96.0571302639128,0
13,SAT-53-11,SAT-27-5,33,0,71.42998094711798,0
14,SAT-19-20,SAT-64-21,29,0,55.618373005025944,0
15,SAT-13-5,SAT-24-18,21,3,79.04285250120337,39
16,SAT-39-4,SAT-37-0,7,2,29.89202523532463,26
17,SAT-2-2,SAT-64-21,14,0,37.831213331823484,0
18,SAT-37-14,SAT-27-5,80,30,471.2140514351646,390
19,SAT-65-2,SAT-24-20,36,0,82.4748061476269,0
20,SAT-7-13,SAT-53-18,32,2,68.87220401962219,26
21,SAT-53-5,SAT-24-20,37,0,81.67402023505512,0
22,SAT-48-15,SAT-11-11,40,1,82.30699010884054,13
23,SAT-15-13,SAT-11-11,7,0,20.38276677904438,0
24,SAT-29-11,SAT-68-6,105,33,506.8494483410941,429
25,SAT-2-2,SAT-13-5,23,4,92.23784243482457,52
26,SAT-29-11,SAT-7-9,25,0,53.14755211106251,0
27,SAT-64-21,SAT-53-6,45,14,236.69878846927062,182
28,SAT-37-18,SAT-13-10,33,3,96.01388758135843,39
29,SAT-38-20,SAT-45-10,18,3,78.34650143535478,39
30,SAT-60-13,SAT-48-20,20,4,67.79949292552178,52
31,SAT-39-4,SAT-48-15,21,4,88.01763260595136,52
32,SAT-5-11,SAT-9-13,7,0,20.377067381505576,0
33,SAT-8-10,SAT-64-21,28,4,101.34333496391122,52
34,SAT-21-8,SAT-12-3,31,10,153.61377622319455,130
35,SAT-10-21,SAT-37-13,36,3,101.41069358737627,39
36,SAT-48-17,SAT-46-4,12,3,62.73816970658562,39
37,SAT-30-15,SAT-55-2,35,4,104.60403430662475,52
38,SAT-45-10,SAT-44-10,2,0,1.9636829029673861,0
39,SAT-70-8,SAT-39-4,158,62,883.2762915475328,806
40,SAT-44-19,SAT-37-18,55,23,320.02394522278473,299
41,SAT-15-6,SAT-19-9,8,3,26.98304029724623,39
42,SAT-33-5,SAT-64-21,38,3,94.91759965980023,39
43,SAT-28-6,SAT-53-17,91,28,472.3403088620258,364
44,SAT-28-1,SAT-8-10,30,4,95.51676165865707,52
45,SAT-19-9,SAT-55-20,48,4,137.8100245497464,52
46,SAT-65-0,SAT-2-2,12,0,29.413084211442058,0
47,SAT-45-10,SAT-48-17,21,6,117.09387547250988,78
48,SAT-13-10,SAT-60-10,26,0,49.11097486078039,0
49,SAT-45-21,SAT-55-2,14,0,37.78840984221433,0
50,SAT-23-21,SAT-46-4,39,5,140.41020294131485,65
51,SAT-38-20,SAT-63-6,88,28,452.6760195650712,364
52,SAT-46-5,SAT-44-16,14,4,75.87517765829864,52
53,SAT-7-9,SAT-65-0,24,3,84.41249084294132,39
54,SAT-21-8,SAT-9-2,19,3,60.51817655585428,39
55,SAT-19-9,SAT-44-16,41,4,144.07233525856586,52
56,SAT-30-13,SAT-35-16,17,4,80.75898351742441,52
57,SAT-68-6,SAT-63-6,38,16,218.5912631662129,208
58,SAT-41-19,SAT-53-5,29,4,126.93909933788943,52
59,SAT-9-2,SAT-8-10,10,4,54.3543025310198,52
60,SAT-15-1,SAT-53-5,47,4,140.80422761392938,52
61,SAT-50-13,SAT-37-14,27,6,109.07197815967295,78
62,SAT-52-12,SAT-60-13,10,0,21.02053305764226,0
63,SAT-65-2,SAT-65-9,8,0,45.96484646550536,0
64,SAT-28-6,SAT-58-14,39,3,107.24361894941542,39
65,SAT-28-6,SAT-38-17,44,12,234.72735661872002,156
66,SAT-31-19,SAT-35-16,32,12,184.5171638611786,156
67,SAT-32-17,SAT-65-2,41,3,106.17138693236953,39
68,SAT-2-16,SAT-37-0,42,4,103.25386153485623,52
69,SAT-61-21,SAT-5-11,27,3,94.56080492763553,39
70,SAT-60-10,SAT-63-6,32,12,189.27536255214488,156
71,SAT-65-2,SAT-8-7,81,32,454.19345198703013,416
72,SAT-9-1,SAT-33-5,37,4,122.60011248978329,52
73,SAT-42-8,SAT-13-8,364,167,2244.389307990255,2171
74,SAT-24-5,SAT-9-8,49,18,244.06843957331327,234
75,SAT-7-9,SAT-50-15,46,5,158.01151152937794,65
76,SAT-1-8,SAT-35-8,385,175,2356.521821700976,2275
77,SAT-38-8,SAT-18-2,27,3,75.49052016907645,39
78,SAT-35-16,SAT-1-12,39,3,87.62216313226875,39
79,SAT-33-0,SAT-24-18,66,26,381.56407210599514,338
80,SAT-2-2,SAT-11-17,85,34,508.2824065102715,442
81,SAT-47-13,SAT-48-15,10,3,53.92679249471026,39
82,SAT-71-2,SAT-41-19,386,175,2384.7824600141194,2275
83,SAT-6-8,SAT-28-1,30,3,85.6502399646084,39
84,SAT-54-5,SAT-15-1,38,3,85.79371680037289,39
85,SAT-9-2,SAT-70-17,85,33,497.1759127248013,429
86,SAT-33-0,SAT-35-8,15,5,82.45130137296188,65
87,SAT-28-6,SAT-9-8,58,20,284.0326899858959,260
88,SAT-1-12,SAT-29-7,264,115,1590.139283716172,1495
89,SAT-50-11,SAT-0-12,24,0,49.55820483894365,0
90,SAT-4-9,SAT-0-3,19,6,99.13942772663738,78
91,SAT-19-20,SAT-57-9,46,4,134.37910278320442,52
92,SAT-24-19,SAT-13-4,29,5,131.73582247496884,65
93,SAT-54-0,SAT-37-14,60,19,306.4304516744777,247
94,SAT-38-8,SAT-48-15,28,5,129.90792159949888,65
95,SAT-37-18,SAT-50-15,59,22,317.8306662870841,286
96,SAT-33-4,SAT-28-1,9,2,28.494140436880738,26
97,SAT-11-20,SAT-35-4,41,5,148.34698662465433,65
98,SAT-29-5,SAT-20-6,31,11,154.14443422982555,143
99,SAT-19-9,SAT-14-5,38,14,218.91993293683788,182
100,SAT-31-17,SAT-18-16,93,39,542.1588918345149,507
101,SAT-21-11,SAT-53-5,231,96,1357.779941849984,1248
102,SAT-14-5,SAT-9-2,9,3,28.704130466901947,39
103,SAT-44-16,SAT-9-13,39,3,82.73359378558044,39
104,SAT-37-0,SAT-19-20,21,0,46.05981442928063,0
105,SAT-28-6,SAT-11-20,26,3,83.13558658404665,39
106,SAT-64-21,SAT-52-12,22,3,80.26756244236255,39
107,SAT-30-13,SAT-44-10,18,0,44.90278866252632,0
108,SAT-33-0,SAT-53-11,32,4,108.39929196959996,52
109,SAT-49-3,SAT-20-6,89,29,439.4827993580112,377
110,SAT-65-0,SAT-55-2,13,0,31.128081040953287,0
111,SAT-39-3,SAT-67-6,92,31,464.94183793044533,403
112,SAT-8-7,SAT-17-11,14,2,42.74148289700436,26
113,SAT-35-17,SAT-67-18,98,33,485.19037752897276,429
114,SAT-27-1,SAT-62-16,253,105,1487.8936776085127,1365
115,SAT-65-18,SAT-57-5,26,4,125.84933588956417,52
116,SAT-50-15,SAT-13-5,218,86,1254.1685807870913,1118
117,SAT-69-4,SAT-70-10,8,4,41.22977542017716,52
118,SAT-12-20,SAT-57-9,39,4,121.67653401747937,52
119,SAT-68-6,SAT-35-17,107,32,538.9549758011805,416
120,SAT-35-8,SAT-68-14,52,6,178.65196126684717,78
121,SAT-8-10,SAT-70-8,133,60,819.0822869806577,780
122,SAT-60-12,SAT-39-7,233,103,1422.8380126151324,1339
123,SAT-68-6,SAT-60-1,14,3,47.21657491227446,39
124,SAT-65-18,SAT-19-20,29,2,60.76531892395304,26
125,SAT-60-1,SAT-45-10,25,4,86.58819377824497,52
126,SAT-3-10,SAT-45-14,47,6,160.04357428063173,78
127,SAT-11-5,SAT-9-8,10,5,49.63025100375506,65
128,SAT-16-18,SAT-69-4,38,5,153.01666259611068,65
129,SAT-67-11,SAT-70-10,5,0,12.477258462982594,0
130,SAT-62-16,SAT-50-15,62,25,343.31318460969715,325
131,SAT-45-21,SAT-71-2,30,0,66.41094850788997,0
132,SAT-35-1,SAT-13-4,36,5,125.08937653298212,65
133,SAT-1-8,SAT-8-20,18,3,78.24030100078254,39
134,SAT-63-2,SAT-12-2,22,0,37.72870386446641,0
135,SAT-37-13,SAT-24-18,59,22,318.04171636996034,286
136,SAT-59-4,SAT-61-10,9,4,43.06656942779612,52
137,SAT-60-13,SAT-6-14,32,6,118.12347870978618,78
138,SAT-41-3,SAT-33-0,12,1,34.06619732624568,13
139,SAT-35-16,SAT-58-15,113,45,625.2820058429638,585
140,SAT-7-4,SAT-54-0,30,2,71.14408873270692,26
141,SAT-45-10,SAT-41-19,22,7,118.96789086790803,91
142,SAT-28-6,SAT-55-2,32,3,74.73436570718654,39
143,SAT-45-20,SAT-13-8,107,35,544.6259153916433,455
144,SAT-56-11,SAT-65-18,43,15,232.13895815804273,195
145,SAT-5-16,SAT-69-17,30,11,152.57792474667946,143
146,SAT-7-13,SAT-36-7,288,126,1743.230057002864,1638
147,SAT-43-16,SAT-48-0,12,4,48.57555567142862,52
148,SAT-13-5,SAT-64-21,28,3,76.51076919810991,39
149,SAT-14-19,SAT-63-0,27,1,61.913952795505594,13
150,SAT-3-10,SAT-9-2,15,3,63.293263253158095,39
151,SAT-44-19,SAT-29-5,32,4,132.60401801193328,52
152,SAT-63-2,SAT-3-14,47,14,244.78184598908348,182
153,SAT-23-19,SAT-10-21,16,1,37.002123506915,13
154,SAT-20-20,SAT-20-6,9,0,52.53125310343674,0
155,SAT-10-21,SAT-65-0,19,0,40.09689882116715,0
156,SAT-48-0,SAT-32-17,120,49,702.5746707448621,637
157,SAT-1-18,SAT-8-20,10,2,25.990254784649828,26
158,SAT-23-21,SAT-60-13,44,3,115.28387042347671,39
159,SAT-5-5,SAT-52-10,31,4,78.75146714961309,52
160,SAT-70-20,SAT-71-2,6,0,28.057821129896535,0
161,SAT-11-11,SAT-70-8,133,58,803.3486825622725,754
162,SAT-13-9,SAT-1-8,132,59,802.3736890825124,767
163,SAT-65-18,SAT-21-5,46,4,163.0775935093805,52
164,SAT-53-16,SAT-11-5,50,4,179.88531254699507,52
165,SAT-35-4,SAT-37-13,12,4,62.77391444610596,52
166,SAT-26-2,SAT-45-7,93,36,513.4527108513918,468
167,SAT-59-4,SAT-38-20,28,2,77.01902265122104,26
