index,source,destination,hops,fail count,delay
0,SAT-62-17,SAT-23-7,44,0,106.34063139586013
1,SAT-18-7,SAT-70-6,22,0,31.218870284333246
2,SAT-33-15,SAT-21-20,18,0,47.623511377489194
3,SAT-36-11,SAT-34-5,9,0,41.86368619221663
4,SAT-65-9,SAT-45-18,30,0,83.7501233877683
5,SAT-33-15,SAT-21-20,18,2,49.43808947780177
6,SAT-18-7,SAT-9-8,11,0,19.020948854045514
7,SAT-62-17,SAT-34-5,43,2,130.67715760337282
8,SAT-65-9,SAT-29-13,41,0,91.59188697851665
9,SAT-22-10,SAT-45-17,33,2,90.92593429366119
10,SAT-33-15,SAT-2-9,38,0,82.22571059684564
11,SAT-65-9,SAT-46-20,31,0,95.63813768150376
12,SAT-22-8,SAT-62-17,42,0,98.52109496541587
13,SAT-18-7,SAT-22-10,8,0,25.237664458931665
14,SAT-23-7,SAT-0-20,33,0,87.43325380865146
15,SAT-45-3,SAT-56-3,12,0,17.62258826500024
16,SAT-52-2,SAT-27-8,32,2,74.03307155081545
17,SAT-34-19,SAT-26-17,15,2,50.444486922418804
18,SAT-62-17,SAT-11-4,31,1,88.1907503888854
19,SAT-51-16,SAT-22-17,33,2,59.87539271274544
20,SAT-5-19,SAT-34-19,30,0,46.63633996615908
21,SAT-46-20,SAT-13-1,37,0,79.69812587596068
22,SAT-33-1,SAT-23-7,17,2,53.260043992951545
23,SAT-22-17,SAT-27-8,15,0,65.25441383956255
24,SAT-36-11,SAT-18-7,23,0,51.21651404939264
25,SAT-63-16,SAT-65-9,10,1,48.72328862805391
26,SAT-22-10,SAT-22-17,8,0,45.96484646550561
27,SAT-70-8,SAT-46-20,35,1,98.76537232987296
28,SAT-19-8,SAT-51-15,40,0,90.0999210662783
29,SAT-45-7,SAT-59-7,15,0,19.41711203188824
30,SAT-41-11,SAT-15-1,37,1,101.50390322277616
31,SAT-53-8,SAT-27-3,32,1,68.67187003312934
32,SAT-23-7,SAT-26-17,16,2,82.80303574060716
33,SAT-5-19,SAT-29-13,31,1,72.33363949681045
34,SAT-58-5,SAT-5-8,23,2,46.06578087946152
35,SAT-13-7,SAT-45-3,37,1,70.35172283552865
36,SAT-5-8,SAT-63-5,20,1,52.119700313813794
37,SAT-70-6,SAT-12-19,24,1,78.38532686553204
38,SAT-53-0,SAT-45-18,13,0,37.37356171273811
39,SAT-33-15,SAT-22-9,18,0,54.55303542513668
40,SAT-50-8,SAT-58-2,15,1,50.413854417010874
41,SAT-51-19,SAT-58-19,8,0,11.28139986999202
42,SAT-45-7,SAT-43-1,9,1,42.15229347493515
43,SAT-51-16,SAT-18-7,43,1,104.38943386314533
44,SAT-9-14,SAT-57-7,32,0,79.30735163162346
45,SAT-21-8,SAT-5-8,17,0,25.799963413821953
46,SAT-34-5,SAT-67-19,42,1,97.94467213489835
47,SAT-13-1,SAT-67-12,30,2,97.2513944376966
48,SAT-8-14,SAT-71-9,15,0,47.203420625862975
49,SAT-22-9,SAT-27-3,12,1,46.279260892949225
50,SAT-43-1,SAT-62-17,30,2,91.79671734660842
51,SAT-11-4,SAT-13-7,6,2,22.48088454189564
52,SAT-5-16,SAT-22-9,25,1,69.3466920678405
53,SAT-19-8,SAT-21-20,13,1,68.41487174427431
54,SAT-64-9,SAT-0-9,9,0,14.578818564304312
55,SAT-13-7,SAT-65-9,23,0,40.96510158157142
56,SAT-11-13,SAT-16-21,14,2,59.48932517986323
57,SAT-52-2,SAT-19-8,40,2,85.16641390657851
58,SAT-12-8,SAT-30-18,29,2,90.71312585443533
59,SAT-22-8,SAT-50-8,29,0,45.19858926381014
60,SAT-45-3,SAT-46-6,7,2,34.2244306779879
61,SAT-18-4,SAT-2-9,22,2,55.110393003095496
62,SAT-36-2,SAT-61-12,36,2,100.474003587808
63,SAT-8-7,SAT-41-11,38,0,72.21474366695595
64,SAT-42-13,SAT-64-9,27,0,66.01447420592797
65,SAT-21-8,SAT-50-8,30,0,46.86318757019649
66,SAT-36-13,SAT-65-9,34,0,78.64096517058695
67,SAT-22-17,SAT-34-19,15,1,29.85099160994148
68,SAT-0-9,SAT-12-8,14,0,25.958070460079643
69,SAT-22-8,SAT-34-5,18,1,49.30952869261653
70,SAT-30-18,SAT-65-1,41,0,81.62086168398974
71,SAT-3-18,SAT-0-5,17,2,89.5451858783122
72,SAT-47-1,SAT-61-1,15,0,27.375674375065895
73,SAT-41-3,SAT-46-6,11,2,39.80186583169643
74,SAT-52-21,SAT-21-1,34,0,73.75037796350513
75,SAT-46-5,SAT-12-19,43,1,99.16604139264953
76,SAT-62-19,SAT-51-19,12,0,17.794784109351085
77,SAT-18-7,SAT-56-3,39,1,72.90041484093175
