gamma,packets,avg hops,avg prop,sum fails,avg fails,sum overhead msg,avg overhead msg
0.001075,200100,33.34863568215892,150.62661577677804,531844,2.6578910544727634,2127376,10.631564217891054
0.00105,200100,36.40557221389305,170.99955099295573,701070,3.50359820089955,2804280,14.0143928035982
0.001025,200100,38.59172913543228,185.59370520276502,848511,4.240434782608696,3394044,16.961739130434783
0.001,200100,42.10687656171914,208.89712913996388,1099966,5.4970814592703645,4399864,21.988325837081458
0.0011,200100,32.328410794602696,143.8168892455201,475745,2.377536231884058,1902980,9.510144927536231
0.001125,200100,31.086741629185408,135.2143100947195,406587,2.0319190404797602,1626348,8.127676161919041
0.00115,200100,29.711059470264868,125.84518619358045,325368,1.6260269865067467,1301472,6.504107946026987
0.001175,200100,29.080249875062467,121.4978295543457,287402,1.4362918540729634,1149608,5.745167416291854
0.0012,200100,28.30125437281359,116.08887715799497,238776,1.1932833583208395,955104,4.773133433283358
0.001225,200100,27.577346326836583,110.81540154477089,186896,0.9340129935032484,747584,3.7360519740129936
0.00125,200100,26.58566716641679,103.91032309296074,121755,0.6084707646176911,487020,2.4338830584707645
