index,source,destination,hops,fail count,delay,overhead_signal
0,SAT-28-1,SAT-38-0,12,0,26.176329269886978,0
1,SAT-16-19,SAT-9-0,11,0,30.931891201109615,0
2,SAT-15-19,SAT-62-0,29,0,59.815903082793426,0
3,SAT-45-0,SAT-54-0,10,0,18.11338679732943,0
4,SAT-67-7,SAT-11-7,17,0,22.129055000317763,0
5,SAT-45-0,SAT-71-8,87,29,441.20126742419876,354
6,SAT-54-0,SAT-15-19,433,198,2679.878653925068,3366
7,SAT-68-1,SAT-40-13,39,3,116.473380044582,3
8,SAT-21-6,SAT-8-18,24,3,89.25410486674909,3
9,SAT-43-16,SAT-0-1,37,4,98.62981590030002,4
10,SAT-15-19,SAT-11-7,15,0,70.59199578230029,0
11,SAT-47-16,SAT-38-0,16,0,50.48628098434085,0
12,SAT-21-6,SAT-45-0,31,0,68.96601624561491,0
13,SAT-0-10,SAT-35-15,43,1,89.0842287418118,1
14,SAT-40-13,SAT-65-6,83,25,405.0847371307648,325
15,SAT-16-19,SAT-40-13,31,3,82.91522403086095,3
16,SAT-19-6,SAT-9-0,17,3,57.5304332456116,3
17,SAT-10-5,SAT-45-0,41,3,96.2940101527704,3
18,SAT-38-7,SAT-47-16,27,4,127.98591401736152,4
19,SAT-68-13,SAT-8-5,93,36,547.0709231359953,234
20,SAT-43-16,SAT-67-7,34,2,97.52602332339121,2
21,SAT-35-15,SAT-21-6,52,14,260.19595707834196,105
22,SAT-19-6,SAT-9-17,42,11,217.4202099411853,56
23,SAT-11-11,SAT-48-1,46,0,108.7613450666807,0
24,SAT-47-16,SAT-16-12,36,2,75.90226284516913,2
25,SAT-61-1,SAT-44-4,31,5,116.28376630210246,5
26,SAT-16-6,SAT-42-15,36,3,106.38780563751425,3
27,SAT-25-12,SAT-65-19,102,34,511.0754824491136,515
28,SAT-60-16,SAT-71-21,17,4,52.83940260724877,4
29,SAT-48-1,SAT-33-8,53,18,270.2398220819343,123
30,SAT-0-1,SAT-38-7,177,70,994.2945742226613,1192
31,SAT-18-7,SAT-58-4,164,65,918.1533024139367,1057
32,SAT-43-16,SAT-61-5,38,4,156.92487055439813,8
33,SAT-16-12,SAT-45-20,38,4,105.29831538180727,4
34,SAT-65-6,SAT-67-7,10,4,49.603954208840946,5
35,SAT-68-13,SAT-38-0,40,4,113.70530921967736,4
36,SAT-39-15,SAT-8-18,155,62,863.6769292867705,939
37,SAT-23-8,SAT-71-21,34,3,102.54605128264525,3
