gamma,packets,avg hops,avg prop,sum fails,avg fails,sum overhead msg,avg overhead msg
0.001,100050,40.54615692153923,198.4097721915136,917741,9.172823588205897,1173385,11.727986006996503
0.001025,100050,37.92606696651674,180.95671792536803,712376,7.120199900049975,922690,9.222288855572215
0.00105,100050,36.69073463268366,172.29322017648525,634325,6.34007996001999,808074,8.076701649175412
0.001075,100050,35.0032083958021,160.97835114021333,534559,5.342918540729635,678927,6.785877061469265
0.0011,100050,33.65284357821089,151.85671228541935,464376,4.64143928035982,579862,5.795722138930535
0.001125,100050,32.58753623188406,144.5483793053148,409080,4.088755622188906,500357,5.001069465267366
0.00115,100050,31.30103948025987,135.68980073152304,341697,3.415262368815592,410120,4.099150424787606
0.001175,100050,30.6512143928036,130.78359753944966,303331,3.031794102948526,351915,3.517391304347826
0.0012,100050,29.37265367316342,122.20348670973542,242116,2.4199500249875063,272420,2.722838580709645
0.001225,100050,28.45910044977511,116.20419444845372,198906,1.9880659670164917,211236,2.111304347826087
0.00125,100050,27.323098450774612,108.28682460546901,140837,1.4076661669165418,137132,1.3706346826586706
