index,source,destination,hops,fail count,delay
0,SAT-4-6,SAT-42-7,36,0,48.47559483681595
1,SAT-19-14,SAT-56-4,46,0,121.82742281590122
2,SAT-2-12,SAT-69-12,6,0,9.804961315978801
3,SAT-63-2,SAT-21-14,41,0,102.64276184889961
4,SAT-4-10,SAT-51-10,26,0,49.02480657989399
5,SAT-19-14,SAT-47-11,32,0,64.60551457527816
6,SAT-25-16,SAT-17-8,17,1,63.58961216118592
7,SAT-59-4,SAT-54-0,10,0,33.17710096281182
8,SAT-17-19,SAT-65-18,26,0,45.09932383696673
9,SAT-4-10,SAT-31-11,29,0,59.52368967320091
10,SAT-17-8,SAT-4-6,16,0,34.01612902362075
11,SAT-25-16,SAT-70-7,37,0,92.36118321165775
12,SAT-34-20,SAT-65-14,38,0,77.58989270087618
13,SAT-51-10,SAT-21-14,35,0,74.35337516929714
14,SAT-54-0,SAT-30-16,31,0,87.7007309972328
15,SAT-65-14,SAT-19-14,27,0,41.65339044454601
16,SAT-4-10,SAT-11-10,8,0,13.735076770022925
17,SAT-69-4,SAT-45-11,32,2,79.21409291981517
18,SAT-57-14,SAT-27-10,35,0,74.3272309108091
19,SAT-47-11,SAT-42-7,10,0,36.32858470605089
20,SAT-57-14,SAT-36-6,30,0,86.15607123770857
21,SAT-48-12,SAT-44-14,7,0,19.537540539530045
22,SAT-57-21,SAT-35-2,26,0,59.57396418130916
23,SAT-47-11,SAT-65-18,26,0,82.19139919104909
24,SAT-54-0,SAT-17-19,39,0,75.98445780398026
25,SAT-34-2,SAT-45-11,21,0,79.02720054374585
26,SAT-17-19,SAT-20-15,10,2,44.19936973645647
27,SAT-4-10,SAT-49-8,30,0,66.13168505261825
28,SAT-25-16,SAT-10-3,25,2,79.90170834695891
29,SAT-56-4,SAT-51-10,12,2,46.33312269610751
30,SAT-69-4,SAT-60-16,24,2,105.95592509546286
31,SAT-34-20,SAT-24-15,16,0,51.027571906326635
32,SAT-11-10,SAT-65-18,27,2,77.35311521442175
33,SAT-64-12,SAT-47-11,19,0,39.86313919054473
34,SAT-57-14,SAT-27-10,35,0,74.24876486072112
35,SAT-60-7,SAT-27-10,37,0,65.5194524529971
36,SAT-21-14,SAT-24-15,5,0,11.362103863374491
37,SAT-35-3,SAT-24-7,16,2,41.53903739812089
38,SAT-45-15,SAT-26-2,29,2,85.47900574878749
39,SAT-30-5,SAT-30-16,12,0,72.23047301722274
40,SAT-34-20,SAT-24-12,19,0,70.74080406208152
41,SAT-70-7,SAT-30-5,39,2,90.52462760535481
42,SAT-63-2,SAT-18-19,33,0,76.34600411675919
43,SAT-10-3,SAT-42-7,37,0,77.39181432949574
44,SAT-17-19,SAT-69-9,31,0,97.89663743641388
45,SAT-27-11,SAT-64-12,37,0,75.07652689049608
46,SAT-36-6,SAT-52-4,21,2,51.81475977165722
47,SAT-47-11,SAT-66-16,25,0,71.07022506394608
48,SAT-50-0,SAT-9-14,40,2,102.03269871706671
49,SAT-65-14,SAT-57-14,9,0,12.774566609969483
50,SAT-57-14,SAT-48-12,12,0,27.496346358423953
51,SAT-38-21,SAT-18-7,29,2,80.34789938451016
52,SAT-31-8,SAT-27-11,8,0,26.15268647626676
53,SAT-36-6,SAT-32-20,13,2,58.9150455845755
54,SAT-31-11,SAT-57-21,37,0,117.98963431575261
55,SAT-21-14,SAT-61-20,39,2,83.93010111671639
56,SAT-64-20,SAT-42-7,32,2,89.7131768776496
57,SAT-44-20,SAT-65-9,33,0,110.51451099650816
58,SAT-60-16,SAT-10-3,32,2,89.71317687764885
59,SAT-59-16,SAT-30-5,45,2,138.85291761222553
60,SAT-63-2,SAT-3-7,18,0,54.513222819216566
61,SAT-40-3,SAT-55-2,17,0,30.479440110942953
62,SAT-2-14,SAT-43-14,32,0,49.42026917756107
63,SAT-26-2,SAT-41-0,18,0,40.23430031282018
64,SAT-65-14,SAT-69-12,7,0,19.509622201996237
65,SAT-57-14,SAT-56-18,6,2,27.658808079557083
66,SAT-41-11,SAT-24-7,22,0,60.47759836057107
67,SAT-16-18,SAT-64-17,26,0,40.00276330609476
68,SAT-56-4,SAT-12-9,34,3,71.84111596917316
69,SAT-34-2,SAT-41-0,10,0,25.775136390758075
70,SAT-51-13,SAT-24-7,34,0,88.14223003865679
71,SAT-30-16,SAT-44-20,19,2,45.78115794945447
72,SAT-52-4,SAT-48-18,13,1,58.9010760359464
73,SAT-71-19,SAT-11-16,20,2,65.07431526303588
74,SAT-25-16,SAT-63-10,41,2,93.54193475391581
75,SAT-21-14,SAT-22-10,6,0,27.85720881684106
76,SAT-69-9,SAT-45-11,27,0,56.95267974965896
77,SAT-13-20,SAT-65-18,23,0,49.649368670692326
78,SAT-41-0,SAT-27-11,26,2,91.75700780271193
79,SAT-54-8,SAT-40-3,20,0,55.47994023791156
80,SAT-2-0,SAT-56-2,21,0,45.60268068421586
81,SAT-30-14,SAT-45-15,17,0,30.427036485450174
82,SAT-65-12,SAT-58-5,15,0,59.64694090191518
83,SAT-69-12,SAT-44-20,34,2,87.41973788534027
84,SAT-6-17,SAT-12-9,15,2,62.0755050424433
85,SAT-44-20,SAT-36-7,18,2,70.26827768409024
86,SAT-65-18,SAT-69-10,13,2,58.890592748276205
87,SAT-54-8,SAT-10-3,34,2,76.9079462131424
88,SAT-51-10,SAT-47-11,6,0,14.436034064127977
89,SAT-42-7,SAT-26-13,23,0,61.73967571302502
90,SAT-58-5,SAT-11-17,36,2,105.38809220938586
91,SAT-47-14,SAT-21-6,35,0,93.84423996672909
92,SAT-54-8,SAT-54-8,1,0,0
93,SAT-7-2,SAT-61-13,30,2,97.37856162940207
94,SAT-19-3,SAT-26-2,9,0,17.68913387035488
95,SAT-19-14,SAT-57-3,46,2,119.7592688377367
96,SAT-30-1,SAT-56-2,28,0,57.35334928708958
97,SAT-24-15,SAT-29-10,11,1,40.33349108114936
98,SAT-11-17,SAT-61-20,26,1,50.45314662117964
99,SAT-26-6,SAT-46-13,28,1,73.92296165404295
100,SAT-32-20,SAT-30-21,4,0,10.2249623216428
101,SAT-17-8,SAT-55-2,41,0,94.54787658849821
102,SAT-22-15,SAT-30-3,19,3,76.85363768919481
103,SAT-44-12,SAT-36-0,19,2,76.85363768919615
104,SAT-55-20,SAT-62-0,10,0,25.93775816885654
105,SAT-69-9,SAT-6-10,11,0,23.036089724617092
106,SAT-11-3,SAT-9-19,9,0,42.57111711264733
107,SAT-17-8,SAT-35-3,24,2,61.386128755282336
108,SAT-14-17,SAT-7-5,22,2,101.72610887215927
109,SAT-70-7,SAT-13-5,22,2,63.1935194656077
110,SAT-23-3,SAT-41-2,20,0,35.104763558168756
111,SAT-60-7,SAT-38-0,30,0,76.77101719368524
112,SAT-34-2,SAT-14-17,28,0,81.95538199569569
113,SAT-52-8,SAT-69-0,26,2,79.48414575032704
114,SAT-54-6,SAT-58-20,13,2,58.873110196822786
115,SAT-34-20,SAT-55-20,22,0,38.45804744464377
116,SAT-38-17,SAT-69-12,37,2,81.95431672049149
117,SAT-2-14,SAT-59-1,25,2,79.95334657940137
118,SAT-57-14,SAT-65-9,14,0,45.50875152018862
119,SAT-68-0,SAT-40-21,30,0,62.90780735240695
120,SAT-46-13,SAT-0-17,31,0,73.01538715025578
121,SAT-31-8,SAT-6-10,28,0,53.77043903638313
122,SAT-0-20,SAT-41-19,33,0,63.359009526041696
123,SAT-49-0,SAT-28-21,23,0,48.82170040819399
124,SAT-54-8,SAT-0-15,26,0,75.22393701308454
125,SAT-63-4,SAT-39-15,36,2,105.89439537511454
126,SAT-29-7,SAT-31-8,4,0,9.371733501085535
127,SAT-30-14,SAT-18-7,20,0,64.95893252226388
128,SAT-56-4,SAT-39-15,29,2,95.9144949337259
129,SAT-15-11,SAT-30-21,26,0,95.84585553473708
130,SAT-39-15,SAT-54-21,22,3,60.45033303307134
131,SAT-68-0,SAT-27-16,40,1,171.51349598121647
132,SAT-26-13,SAT-29-6,17,3,90.10918341763573
133,SAT-69-10,SAT-29-7,36,0,64.60992541884745
134,SAT-28-8,SAT-20-15,22,3,96.5909626693452
135,SAT-7-2,SAT-16-18,16,0,52.03674881367075
136,SAT-24-15,SAT-54-6,46,3,145.9288240137006
137,SAT-21-7,SAT-38-21,26,2,79.40979695546612
138,SAT-45-15,SAT-65-13,23,1,44.75462957236503
139,SAT-54-21,SAT-27-7,36,2,90.28409415597649
140,SAT-14-17,SAT-10-3,13,1,58.15147089218598
141,SAT-37-7,SAT-38-16,11,0,60.5027141885504
142,SAT-10-13,SAT-21-6,25,3,102.74566040852288
143,SAT-63-2,SAT-4-6,18,0,49.60242688583275
144,SAT-58-5,SAT-11-0,31,2,72.33742890655793
145,SAT-4-6,SAT-66-0,17,3,55.19184736526853
146,SAT-69-9,SAT-69-19,11,0,65.66406637929379
147,SAT-41-14,SAT-13-1,38,2,98.46154993623637
148,SAT-69-4,SAT-55-20,21,1,61.50921038034586
149,SAT-61-13,SAT-70-6,23,3,99.57735307700467
150,SAT-69-9,SAT-30-16,41,0,106.55617243664848
151,SAT-60-6,SAT-11-3,27,2,56.003928579049
152,SAT-17-8,SAT-63-2,33,0,81.79639134154796
153,SAT-33-3,SAT-27-11,15,2,60.97117032864806
154,SAT-37-11,SAT-58-9,24,0,51.69092980294967
155,SAT-40-14,SAT-13-20,34,2,77.39968137774142
156,SAT-69-19,SAT-49-0,24,0,52.33029213097278
157,SAT-68-0,SAT-41-11,39,2,110.23171456739053
158,SAT-21-18,SAT-52-4,40,0,96.16230821659109
159,SAT-25-17,SAT-35-4,20,1,73.17219364883516
160,SAT-35-18,SAT-67-13,38,2,83.28691437091192
161,SAT-69-9,SAT-63-5,11,0,37.290343836983446
162,SAT-18-6,SAT-58-20,41,3,102.98613428470303
163,SAT-59-1,SAT-4-6,23,0,65.94502649071245
164,SAT-39-15,SAT-30-14,11,1,20.756841970160263
165,SAT-58-19,SAT-59-1,6,0,27.898905550979677
166,SAT-62-20,SAT-58-20,5,0,7.352509409486589
167,SAT-28-21,SAT-64-12,46,0,130.1281714177686
168,SAT-45-8,SAT-21-0,33,0,91.72994908569893
169,SAT-44-14,SAT-49-13,7,0,14.445604875063433
170,SAT-27-7,SAT-25-16,16,2,88.18300653080111
171,SAT-44-20,SAT-21-18,26,0,55.42523100459077
172,SAT-49-13,SAT-48-12,3,0,8.35712380403777
