gamma,packets,avg hops,avg prop,sum fails,avg fails,sum overhead msg,avg overhead msg
0.001025,100050,31.05160419790105,145.21451871562093,67378,0.6734432783608196,320180256,3200.2024587706146
0.001,100050,31.68111944027986,150.1699221320434,73637,0.7360019990004998,349923024,3497.481499250375
0.00105,100050,30.60255872063968,141.70508107303218,61954,0.6192303848075962,294405408,2942.5827886056973
0.001075,100050,30.314542728635683,138.91768271174524,56921,0.5689255372313843,270488592,2703.5341529235384
0.0011,100050,30.01032483758121,136.3017904953204,52052,0.5202598700649675,247351104,2472.2749025487255
0.001125,100050,29.834272863568216,134.3821690737032,47053,0.4702948525737131,223595856,2234.841139430285
0.00115,100050,29.928785607196403,133.26504172654555,42009,0.419880059970015,199626768,1995.2700449775111
0.001175,100050,29.68685657171414,131.15370133513434,37320,0.3730134932533733,177344640,1772.56011994003
0.0012,100050,29.480139930034984,129.12076696908358,31700,0.3168415792103948,150638400,1505.6311844077961
0.001225,100050,29.492663668165918,128.02611600592255,25033,0.2502048975512244,118956816,1188.9736731634182
0.00125,100050,29.26440779610195,126.10714427275884,16312,0.16303848075962019,77514624,774.7588605697151
