index,source,destination,hops,fail count,delay,overhead_signal
0,SAT-17-19,SAT-18-16,5,0,20.93184309610833,0
1,SAT-71-12,SAT-57-4,23,0,69.7879776559177,0
2,SAT-4-16,SAT-40-11,42,0,77.20646775317384,0
3,SAT-23-20,SAT-61-2,39,0,87.98672340642219,0
4,SAT-12-2,SAT-71-1,15,0,30.16564955296353,0
5,SAT-34-0,SAT-40-11,18,3,83.11818308835636,14256
6,SAT-56-8,SAT-25-4,40,3,108.7844218042898,14256
7,SAT-63-12,SAT-4-16,84,3,483.2385031425119,14256
8,SAT-18-16,SAT-23-20,10,4,35.345793695647586,19008
9,SAT-2-10,SAT-71-1,13,3,64.54151477693095,14256
10,SAT-56-8,SAT-18-16,43,0,94.41865302898971,0
11,SAT-23-20,SAT-22-2,6,0,28.07953588406734,0
12,SAT-12-2,SAT-4-16,17,0,62.38711190944797,0
13,SAT-40-11,SAT-21-15,24,0,56.72120067618472,0
14,SAT-67-17,SAT-70-14,7,0,23.395166966042957,0
15,SAT-70-14,SAT-51-21,27,4,80.49629338535912,19008
16,SAT-35-12,SAT-23-20,21,4,74.34058800018465,19008
17,SAT-60-8,SAT-43-15,69,2,365.7111273450583,9504
18,SAT-12-2,SAT-35-4,36,5,120.59810487392237,23760
19,SAT-22-2,SAT-71-1,25,0,48.269991499410445,0
20,SAT-15-16,SAT-18-16,26,0,148.15499849336518,0
21,SAT-41-0,SAT-57-4,23,1,59.10005294181046,4752
22,SAT-33-7,SAT-48-15,46,1,221.00992637664808,4752
23,SAT-4-16,SAT-35-20,36,0,69.23659946438043,0
24,SAT-71-12,SAT-5-11,8,0,18.322950025748963,0
25,SAT-15-16,SAT-2-9,21,3,69.51794014104753,14256
26,SAT-59-10,SAT-65-2,15,3,63.40191172291578,14256
27,SAT-22-2,SAT-28-16,21,3,102.80035155049225,14256
28,SAT-21-5,SAT-60-8,39,4,92.85414144245215,19008
29,SAT-71-12,SAT-4-8,22,6,114.12138838977052,28512
30,SAT-58-12,SAT-10-1,36,1,115.69599765110385,4752
31,SAT-53-9,SAT-17-19,69,3,275.1971116571558,14256
32,SAT-36-18,SAT-57-4,94,5,510.81361198556147,23760
33,SAT-40-20,SAT-60-0,23,0,49.52389070921907,0
34,SAT-35-12,SAT-15-16,33,3,114.75611695188016,14256
35,SAT-61-2,SAT-25-14,49,3,143.96946696707465,14256
36,SAT-35-10,SAT-50-0,26,3,92.81931109259408,14256
37,SAT-65-2,SAT-62-11,13,4,64.5584246891955,19008
38,SAT-27-1,SAT-23-20,8,0,26.98023984423006,0
39,SAT-4-8,SAT-71-15,57,2,343.93848677216556,9504
40,SAT-40-11,SAT-22-2,28,0,91.67108618227303,0
41,SAT-61-20,SAT-54-3,45,6,255.1128919426167,28512
42,SAT-65-2,SAT-19-5,38,2,118.98446617788089,9504
43,SAT-46-13,SAT-21-9,30,0,71.5064966085354,0
44,SAT-48-15,SAT-32-5,93,3,528.1821860164667,14256
45,SAT-15-16,SAT-32-12,22,3,57.01724943004179,14256
46,SAT-9-21,SAT-70-14,21,3,78.99576866263347,14256
47,SAT-10-16,SAT-25-14,20,0,53.39941144435699,0
48,SAT-29-7,SAT-60-8,35,1,76.170500400127,4752
49,SAT-33-7,SAT-23-20,20,3,77.18684966979086,14256
