index,source,destination,hops,fail count,delay,overhead_signal
0,SAT-47-12,SAT-48-8,6,0,27.870293878477714,0
1,SAT-45-21,SAT-38-15,14,0,48.026802103817616,0
2,SAT-58-18,SAT-19-6,44,0,106.34063139586027,0
3,SAT-4-13,SAT-54-21,31,0,79.64896311447924,0
4,SAT-58-4,SAT-66-6,11,0,22.993798734420295,0
5,SAT-54-21,SAT-38-15,23,1,61.51515794307798,4752
6,SAT-54-18,SAT-29-2,32,0,73.99439042789902,0
7,SAT-4-13,SAT-32-10,32,0,70.50853357907636,0
8,SAT-58-18,SAT-66-6,41,2,221.19571660584333,9504
9,SAT-47-12,SAT-19-10,31,0,68.02967688249757,0
10,SAT-52-16,SAT-42-16,33,0,156.78076954196237,0
11,SAT-19-10,SAT-11-20,19,0,75.51992518530663,0
12,SAT-38-18,SAT-66-6,39,0,100.15957220033894,0
13,SAT-35-10,SAT-27-16,15,0,49.254298633589094,0
14,SAT-19-6,SAT-29-2,15,0,38.585450059233665,0
15,SAT-19-6,SAT-60-4,34,1,55.93624576837484,4752
16,SAT-11-20,SAT-37-14,33,1,75.29809288581549,4752
17,SAT-45-21,SAT-38-18,11,0,29.396916796295116,0
18,SAT-47-12,SAT-58-4,20,1,67.71956785884375,4752
19,SAT-20-5,SAT-52-16,44,0,116.41466139659475,0
20,SAT-31-8,SAT-39-11,12,0,32.56441714583202,0
21,SAT-68-8,SAT-37-14,38,0,89.03507612102803,0
22,SAT-0-5,SAT-37-6,39,1,68.21483449260134,4752
23,SAT-11-20,SAT-29-2,23,0,58.89041731605287,0
24,SAT-27-16,SAT-48-8,30,0,78.38962031586732,0
25,SAT-8-10,SAT-27-20,30,2,92.01586127971333,9504
26,SAT-66-6,SAT-31-3,39,2,75.71006885072487,9504
27,SAT-30-3,SAT-27-16,17,2,90.1642162019619,9504
28,SAT-38-18,SAT-41-20,6,0,17.293622996977692,0
29,SAT-35-10,SAT-32-10,18,2,96.73062283989135,9504
30,SAT-70-15,SAT-31-3,44,0,111.45861963546334,0
31,SAT-20-5,SAT-58-18,44,0,113.47854982490206,0
32,SAT-21-17,SAT-38-15,22,0,53.45607159348596,0
33,SAT-28-1,SAT-23-9,14,2,59.469821778612086,9504
34,SAT-39-14,SAT-15-17,30,1,66.13716283049727,4752
35,SAT-39-14,SAT-9-12,33,0,61.08978553030925,0
36,SAT-25-2,SAT-51-18,33,0,75.49922910089258,0
37,SAT-11-20,SAT-43-4,45,3,123.22862029923476,14256
38,SAT-58-4,SAT-58-18,9,0,52.53125310343542,0
39,SAT-32-10,SAT-47-12,18,0,42.50630748717123,0
40,SAT-33-7,SAT-50-7,26,2,79.69204036038012,9504
41,SAT-48-8,SAT-15-12,38,0,79.44936879596567,0
42,SAT-11-20,SAT-52-16,40,2,101.69216990914325,9504
43,SAT-32-10,SAT-43-4,40,1,199.14136739649288,4752
44,SAT-29-6,SAT-11-0,25,0,68.15692045257656,0
45,SAT-31-3,SAT-8-1,26,0,49.85969227952107,0
46,SAT-20-9,SAT-4-13,21,0,55.2083304371992,0
47,SAT-6-9,SAT-70-15,37,1,196.63395247199253,4752
48,SAT-18-12,SAT-11-14,10,0,24.310559059582452,0
49,SAT-54-18,SAT-5-9,33,2,95.82453874502664,9504
50,SAT-68-8,SAT-24-7,30,0,45.509711431433274,0
51,SAT-71-5,SAT-47-12,32,2,79.34482200279461,9504
52,SAT-28-1,SAT-52-16,36,2,110.53322790406196,9504
53,SAT-6-9,SAT-8-10,4,0,10.211111279005479,0
54,SAT-31-16,SAT-50-7,29,2,89.054238197818,9504
55,SAT-60-6,SAT-54-6,13,2,48.96889135203895,9504
56,SAT-22-17,SAT-27-20,9,1,26.657291990216383,4752
57,SAT-6-9,SAT-49-6,55,1,204.51698399151792,4752
58,SAT-70-16,SAT-24-7,36,2,100.569616347365,9504
59,SAT-66-6,SAT-1-13,15,1,55.70614737250466,4752
60,SAT-21-17,SAT-39-7,29,2,94.35970654690917,9504
61,SAT-39-14,SAT-20-5,55,3,260.1140747266794,14256
62,SAT-63-10,SAT-11-20,31,1,93.51201614610497,4752
63,SAT-31-8,SAT-18-13,19,0,53.82838233341596,0
64,SAT-71-4,SAT-19-7,24,1,47.54716968059978,4752
65,SAT-23-9,SAT-25-2,10,2,49.15150457865691,9504
66,SAT-33-7,SAT-60-6,35,2,88.9847309930528,9504
67,SAT-5-3,SAT-15-12,20,1,73.0294750197666,4752
68,SAT-60-16,SAT-15-17,31,1,57.31512116547417,4752
69,SAT-70-21,SAT-70-15,7,0,39.39843982757555,0
70,SAT-39-7,SAT-31-6,10,0,17.71813886520784,0
71,SAT-17-5,SAT-45-10,34,0,71.86309598512072,0
72,SAT-43-13,SAT-17-19,33,2,75.64156956623057,9504
73,SAT-19-5,SAT-51-16,44,1,123.18905647730868,4752
74,SAT-71-4,SAT-22-20,30,0,76.02492168951291,0
75,SAT-38-15,SAT-40-11,7,1,29.448791081963996,4752
76,SAT-53-15,SAT-4-8,31,1,82.57123856333159,4752
77,SAT-31-16,SAT-68-7,45,2,114.80303902066261,9504
78,SAT-29-2,SAT-5-3,26,0,44.76438100087764,0
79,SAT-70-21,SAT-23-13,34,2,92.10083888665395,9504
80,SAT-31-3,SAT-56-11,34,2,87.41973788534065,9504
81,SAT-58-4,SAT-30-3,30,1,51.106249019968956,4752
82,SAT-19-10,SAT-8-1,21,2,76.59545496287922,9504
83,SAT-60-19,SAT-40-15,27,2,71.21261295760317,9504
84,SAT-36-18,SAT-57-4,56,3,252.56415290640075,14256
85,SAT-70-9,SAT-26-12,32,0,70.86112396312762,0
86,SAT-31-16,SAT-15-12,21,2,51.70298513108234,9504
87,SAT-12-17,SAT-48-12,42,0,90.06608999321784,0
88,SAT-50-4,SAT-40-15,44,2,232.5897681637723,9504
89,SAT-21-17,SAT-68-7,36,2,105.40993915955039,9504
90,SAT-29-6,SAT-60-10,36,1,69.5762236060253,4752
91,SAT-51-16,SAT-7-0,35,2,78.51768877985482,9504
92,SAT-11-9,SAT-50-4,41,2,98.40056056122609,9504
93,SAT-42-16,SAT-31-8,20,0,70.00982446867488,0
94,SAT-9-16,SAT-22-13,17,0,40.35571334543523,0
95,SAT-15-17,SAT-24-7,20,1,79.95684961727399,4752
96,SAT-24-13,SAT-68-8,34,0,78.22495753044906,0
97,SAT-19-10,SAT-6-9,15,0,30.338074954424037,0
98,SAT-11-0,SAT-31-3,24,0,51.46096044263572,0
99,SAT-1-18,SAT-15-7,26,1,94.46369138741521,4752
100,SAT-12-3,SAT-71-5,20,2,57.58149320616784,9504
101,SAT-62-2,SAT-12-17,52,1,221.19711360218227,4752
102,SAT-35-10,SAT-8-10,42,1,134.78444109316476,4752
103,SAT-54-21,SAT-51-18,7,0,23.8953091550013,0
104,SAT-4-8,SAT-45-21,41,2,108.30125948309714,9504
105,SAT-25-2,SAT-20-9,13,2,52.962286423467155,9504
106,SAT-1-18,SAT-11-12,17,2,55.2618262529293,9504
107,SAT-70-16,SAT-23-10,32,0,79.0569058909589,0
108,SAT-43-2,SAT-29-2,55,1,284.5050298199793,4752
109,SAT-45-10,SAT-40-15,33,1,185.22467243677087,4752
110,SAT-54-6,SAT-53-8,4,1,14.53309376350196,4752
111,SAT-60-6,SAT-67-20,16,2,63.62950301686268,9504
112,SAT-19-15,SAT-9-12,14,1,35.55386264725545,4752
113,SAT-68-7,SAT-48-12,26,0,60.83764294253564,0
114,SAT-24-2,SAT-63-21,37,0,79.08360353860135,0
115,SAT-0-5,SAT-11-14,21,2,74.50947260343061,9504
116,SAT-9-16,SAT-34-8,34,2,92.1459978863742,9504
117,SAT-45-21,SAT-20-9,36,2,100.69091379308087,9504
118,SAT-55-21,SAT-18-13,44,0,107.99189579954992,0
119,SAT-38-2,SAT-50-4,37,1,176.60883680611693,4752
120,SAT-47-12,SAT-38-2,20,1,79.917503183292,4752
121,SAT-68-8,SAT-71-5,33,3,195.17693810128503,14256
122,SAT-19-15,SAT-57-8,42,1,99.81116328061253,4752
123,SAT-45-21,SAT-46-3,6,0,27.84934175216231,0
124,SAT-48-8,SAT-27-16,74,2,374.71116438165717,9504
125,SAT-22-13,SAT-19-11,6,0,18.524823654780352,0
126,SAT-51-9,SAT-60-6,19,3,72.98567147048676,14256
127,SAT-39-14,SAT-36-0,12,2,56.73924339817079,9504
128,SAT-41-20,SAT-24-13,25,1,72.87313504591337,4752
129,SAT-68-8,SAT-42-3,32,0,73.98588631262349,0
130,SAT-31-16,SAT-4-14,30,2,55.84588739683787,9504
131,SAT-11-12,SAT-41-20,39,0,94.63503951442807,0
132,SAT-18-7,SAT-16-0,10,2,49.12877788187528,9504
133,SAT-4-8,SAT-11-14,14,0,50.472199784868856,0
134,SAT-63-10,SAT-71-11,10,0,22.33150400136054,0
135,SAT-64-5,SAT-15-12,31,2,78.26274720774528,9504
136,SAT-60-4,SAT-27-15,65,1,255.73460266504665,4752
137,SAT-62-19,SAT-12-18,24,0,37.46005082615895,0
138,SAT-67-20,SAT-60-5,37,1,201.49342820373036,4752
139,SAT-8-6,SAT-51-16,62,1,255.97664604367048,4752
140,SAT-23-13,SAT-55-0,42,2,104.05940205136841,9504
141,SAT-68-4,SAT-15-17,51,1,230.25464027237652,4752
142,SAT-1-13,SAT-5-12,6,0,13.74696058688765,0
143,SAT-11-1,SAT-34-8,31,2,78.28109875082059,9504
144,SAT-9-16,SAT-37-10,35,1,83.64448303051498,4752
145,SAT-44-5,SAT-11-8,37,1,66.09237621488805,4752
146,SAT-60-16,SAT-23-9,43,0,101.24177284742483,0
147,SAT-15-13,SAT-49-6,48,2,138.842677217272,9504
148,SAT-50-4,SAT-58-11,16,2,57.21167223546815,9504
149,SAT-67-10,SAT-22-17,37,1,97.05569671499144,4752
150,SAT-20-11,SAT-25-8,9,0,27.85267212801359,0
151,SAT-16-18,SAT-20-5,38,2,222.31803053514705,9504
152,SAT-43-4,SAT-4-2,36,1,65.22217788253673,4752
153,SAT-30-3,SAT-34-8,10,2,38.45864467312202,9504
154,SAT-32-1,SAT-19-15,24,2,85.82965230049592,9504
155,SAT-27-20,SAT-18-4,22,3,91.46396017187728,14256
156,SAT-60-6,SAT-19-11,37,0,76.46308830280134,0
157,SAT-44-5,SAT-42-16,14,1,75.38565372490379,4752
158,SAT-29-6,SAT-10-11,25,0,59.57364761383763,0
159,SAT-25-21,SAT-61-15,45,1,109.32450584165174,4752
160,SAT-16-0,SAT-37-14,30,2,85.20670536955322,9504
161,SAT-26-11,SAT-62-2,46,1,115.85940107028811,4752
162,SAT-53-8,SAT-39-11,18,0,42.553050412660426,0
163,SAT-70-9,SAT-19-20,33,2,105.34148879242902,9504
164,SAT-15-2,SAT-26-14,22,0,83.00793178535262,0
165,SAT-17-13,SAT-13-2,16,2,78.5338316069284,9504
166,SAT-50-4,SAT-17-5,39,1,79.33091485108119,4752
167,SAT-63-20,SAT-46-20,66,2,339.1414879613489,9504
168,SAT-67-10,SAT-49-6,23,0,51.628652912497806,0
169,SAT-36-13,SAT-26-15,35,1,173.35215578457147,4752
170,SAT-60-19,SAT-58-4,16,3,88.18300653080546,14256
171,SAT-28-1,SAT-31-4,13,3,63.327240097947474,14256
172,SAT-36-5,SAT-60-19,33,0,90.33039365003539,0
173,SAT-67-9,SAT-44-2,31,0,82.18902282266177,0
174,SAT-4-13,SAT-13-1,20,2,78.35280744904061,9504
175,SAT-67-20,SAT-70-12,12,2,57.253519104534874,9504
176,SAT-7-12,SAT-9-16,51,2,318.3356959546765,9504
177,SAT-35-16,SAT-32-9,11,2,50.68711246660546,9504
178,SAT-50-4,SAT-51-16,12,0,66.88683650597156,0
179,SAT-38-18,SAT-7-0,36,0,69.99621262035211,0
180,SAT-39-8,SAT-22-20,28,2,92.4086888120892,9504
181,SAT-14-12,SAT-39-1,37,0,111.5608001242741,0
182,SAT-47-12,SAT-71-4,35,2,103.42118040206424,9504
183,SAT-33-13,SAT-17-7,23,0,61.98194156136506,0
184,SAT-26-8,SAT-38-2,19,2,58.2769968389605,9504
185,SAT-20-11,SAT-58-18,42,2,93.98217907349361,9504
186,SAT-25-8,SAT-17-6,17,3,64.78373663970241,14256
187,SAT-4-13,SAT-24-13,41,0,162.7748816640946,0
188,SAT-24-3,SAT-31-20,13,0,43.83839530657566,0
189,SAT-1-18,SAT-22-19,23,0,36.224170895804406,0
190,SAT-11-8,SAT-43-2,39,1,89.6852159590282,4752
191,SAT-64-21,SAT-15-12,33,2,95.24128008584506,9504
192,SAT-22-13,SAT-21-17,8,2,40.811520779350154,9504
193,SAT-27-3,SAT-12-17,24,0,73.72746738004494,0
194,SAT-21-14,SAT-34-8,20,0,59.82744263098041,0
195,SAT-37-4,SAT-17-8,25,2,54.543391411638545,9504
196,SAT-48-8,SAT-4-14,35,0,83.37484824424708,0
197,SAT-28-10,SAT-33-7,9,0,26.76866112876665,0
198,SAT-51-17,SAT-11-14,36,0,69.95797238997882,0
199,SAT-26-14,SAT-25-2,12,2,67.0779546222886,9504
200,SAT-9-21,SAT-64-12,27,2,85.78273368032441,9504
201,SAT-19-15,SAT-28-10,15,1,46.95942527498091,4752
202,SAT-47-15,SAT-62-21,22,2,60.61888518053685,9504
203,SAT-0-17,SAT-33-4,43,1,105.78263951788475,4752
204,SAT-22-19,SAT-24-14,8,2,35.971453653051796,9504
205,SAT-63-18,SAT-27-15,42,0,89.31007190252284,0
206,SAT-58-11,SAT-55-0,15,2,76.93697624329512,9504
207,SAT-23-9,SAT-42-5,50,3,226.58357916620466,14256
208,SAT-56-18,SAT-47-12,16,1,53.51794950579574,4752
209,SAT-39-10,SAT-46-18,16,2,62.43979012020696,9504
210,SAT-49-10,SAT-26-11,25,0,52.01657243081862,0
211,SAT-66-5,SAT-21-7,30,2,51.37331912557444,9504
212,SAT-31-4,SAT-2-3,31,0,52.03720458695516,0
213,SAT-32-21,SAT-53-17,26,0,56.008242212605744,0
214,SAT-39-11,SAT-12-3,36,1,94.86613395252594,4752
215,SAT-70-5,SAT-11-0,19,2,53.20410776521655,9504
216,SAT-44-8,SAT-44-2,7,0,39.39843982757533,0
217,SAT-44-1,SAT-51-16,19,2,83.20005163483354,9504
218,SAT-70-2,SAT-69-9,9,0,47.21344326368264,0
219,SAT-11-20,SAT-37-4,39,3,115.64214477901957,14256
220,SAT-4-13,SAT-17-5,26,2,99.15756729993373,9504
221,SAT-36-6,SAT-13-2,28,2,62.288381615561825,9504
222,SAT-14-7,SAT-49-14,43,0,95.59263913815983,0
223,SAT-1-16,SAT-71-4,13,2,68.4999402463047,9504
224,SAT-39-8,SAT-60-6,30,3,85.42159468346598,14256
225,SAT-51-21,SAT-36-2,19,0,46.43713008194496,0
226,SAT-55-19,SAT-50-7,16,2,72.75781178766215,9504
227,SAT-29-6,SAT-30-7,3,1,7.9851557196025205,4752
228,SAT-37-19,SAT-31-8,18,2,81.62245782233158,9504
229,SAT-32-10,SAT-17-6,26,2,89.14402839206636,9504
230,SAT-18-17,SAT-25-12,13,2,43.78321707416704,9504
231,SAT-70-13,SAT-10-11,15,0,34.51414337790209,0
232,SAT-28-10,SAT-14-7,18,0,39.573088207060756,0
233,SAT-24-3,SAT-38-2,16,0,28.46877440697046,0
234,SAT-40-15,SAT-60-3,31,2,93.85602546622873,9504
235,SAT-21-17,SAT-36-16,21,2,56.285716171348355,9504
236,SAT-48-4,SAT-38-15,44,2,232.32720770614029,9504
237,SAT-31-7,SAT-62-2,37,2,81.30297801851063,9504
238,SAT-22-17,SAT-23-11,8,2,40.96201869302334,9504
239,SAT-71-5,SAT-49-1,27,2,60.664361591556094,9504
240,SAT-31-0,SAT-42-3,15,0,36.88895158741383,0
241,SAT-24-14,SAT-13-2,22,1,81.29715914975506,4752
242,SAT-46-18,SAT-17-5,63,2,257.9059363556228,9504
243,SAT-4-2,SAT-56-2,23,0,44.386870864270094,0
244,SAT-39-14,SAT-62-3,35,1,108.17263924389788,4752
245,SAT-62-1,SAT-32-10,40,1,101.75782573228473,4752
246,SAT-51-16,SAT-15-17,40,2,70.89141910289118,9504
247,SAT-51-17,SAT-35-14,20,1,44.6884501015935,4752
248,SAT-56-17,SAT-61-10,13,2,53.77398089919565,9504
249,SAT-22-9,SAT-50-2,36,1,89.35382546300545,4752
250,SAT-43-1,SAT-58-18,21,0,54.17435695525972,0
251,SAT-62-3,SAT-23-19,40,0,90.90981924967537,0
252,SAT-19-5,SAT-33-7,17,2,32.84894262653821,9504
253,SAT-18-5,SAT-3-16,27,2,95.64473639090693,9504
254,SAT-45-20,SAT-37-17,34,1,175.54273862322708,4752
255,SAT-32-6,SAT-51-9,23,1,46.748349526501634,4752
256,SAT-11-15,SAT-67-10,22,1,57.79323155970839,4752
257,SAT-13-13,SAT-20-11,10,0,25.57892017511394,0
258,SAT-54-2,SAT-31-4,32,2,85.27493631883085,9504
259,SAT-3-6,SAT-71-4,9,2,32.505926144235836,9504
260,SAT-48-4,SAT-66-15,52,2,244.7569994421301,9504
261,SAT-26-14,SAT-20-0,15,2,61.07798896363084,9504
262,SAT-63-9,SAT-47-12,20,0,49.31105842273081,0
263,SAT-2-21,SAT-61-20,15,0,30.626025426445295,0
264,SAT-55-1,SAT-49-10,16,1,67.64439560156013,4752
265,SAT-15-7,SAT-54-18,45,1,123.65512981073043,4752
266,SAT-4-14,SAT-49-3,39,1,114.30519221191021,4752
267,SAT-34-2,SAT-52-16,31,2,106.84669245160354,9504
268,SAT-15-20,SAT-29-6,25,2,85.61790668084515,9504
269,SAT-49-1,SAT-22-19,32,0,70.82797477646167,0
270,SAT-27-12,SAT-1-18,33,2,76.26943065805139,9504
271,SAT-45-20,SAT-6-17,59,1,211.2212477233283,4752
272,SAT-13-2,SAT-52-16,46,2,130.19262966520458,9504
273,SAT-53-17,SAT-13-4,42,1,104.73264812933698,4752
274,SAT-51-17,SAT-27-16,30,0,70.21076046968231,0
275,SAT-31-3,SAT-53-14,34,2,106.47503557583164,9504
276,SAT-54-19,SAT-30-12,32,0,83.32255107489868,0
277,SAT-26-2,SAT-25-12,12,2,67.09097959040255,9504
278,SAT-48-8,SAT-44-8,15,2,71.89035048085715,9504
279,SAT-61-0,SAT-26-8,44,0,102.47321549228131,0
280,SAT-11-15,SAT-17-6,42,3,239.15840294868977,14256
281,SAT-60-19,SAT-15-13,34,2,81.06478716426169,9504
282,SAT-6-16,SAT-12-17,10,2,28.265622557871538,9504
283,SAT-59-9,SAT-21-7,37,0,61.67576159233222,0
284,SAT-55-1,SAT-18-12,47,0,126.67980164066209,0
285,SAT-62-3,SAT-4-13,25,2,85.66383736831713,9504
286,SAT-62-18,SAT-37-10,34,1,91.40173331934291,4752
287,SAT-18-13,SAT-57-19,40,1,86.54075715884494,4752
288,SAT-21-0,SAT-50-4,40,3,107.09216342798928,14256
289,SAT-32-20,SAT-33-16,8,1,40.739369390652975,4752
290,SAT-15-13,SAT-8-11,10,0,25.54179752454686,0
291,SAT-67-5,SAT-43-19,33,1,89.82589338237149,4752
292,SAT-21-15,SAT-45-11,29,1,63.56026683065237,4752
293,SAT-12-16,SAT-67-11,23,2,59.24907005389006,9504
294,SAT-54-21,SAT-15-12,43,0,110.37779012489537,0
295,SAT-17-1,SAT-33-5,25,2,75.41445061293201,9504
296,SAT-3-13,SAT-17-5,27,1,100.3262817529762,4752
297,SAT-66-5,SAT-46-20,28,2,77.02619680004574,9504
298,SAT-26-14,SAT-18-12,11,0,25.557353409676153,0
299,SAT-35-16,SAT-6-16,68,1,290.9992477272761,4752
300,SAT-7-0,SAT-27-1,22,0,45.269430044294396,0
301,SAT-15-17,SAT-45-11,37,2,85.96419167356808,9504
302,SAT-43-6,SAT-17-5,32,2,73.18901812284597,9504
303,SAT-65-15,SAT-17-6,58,1,253.94402052846485,4752
304,SAT-19-5,SAT-65-9,31,0,63.47223263910546,0
305,SAT-14-7,SAT-45-20,41,1,107.18845523392925,4752
306,SAT-61-7,SAT-41-9,23,0,41.76976309132877,0
307,SAT-70-1,SAT-17-21,22,0,49.891716486844004,0
308,SAT-47-15,SAT-15-20,38,1,78.65115289439736,4752
309,SAT-36-2,SAT-13-16,36,1,114.47714727865873,4752
310,SAT-26-2,SAT-55-21,33,0,71.01944692063203,0
311,SAT-67-20,SAT-70-19,5,0,11.540820705173303,0
312,SAT-27-20,SAT-35-11,18,2,71.50118203963663,9504
313,SAT-43-6,SAT-33-16,65,2,370.09036132102284,9504
314,SAT-68-8,SAT-39-10,32,0,61.21881592588312,0
315,SAT-56-18,SAT-9-16,32,2,78.13755591331089,9504
316,SAT-15-1,SAT-9-16,18,2,81.52786087779641,9504
317,SAT-51-16,SAT-27-1,32,2,80.36879771153305,9504
318,SAT-18-1,SAT-11-15,18,0,76.51101888330027,0
319,SAT-1-3,SAT-64-5,16,2,52.29992154483921,9504
320,SAT-59-11,SAT-58-4,11,2,60.646348797710644,9504
321,SAT-33-16,SAT-62-2,38,1,94.12665653782163,4752
322,SAT-70-1,SAT-25-12,39,1,114.04507753855488,4752
323,SAT-24-13,SAT-60-13,57,0,187.08093878702678,0
324,SAT-46-3,SAT-44-2,4,0,9.663784750620591,0
325,SAT-43-6,SAT-4-6,40,1,90.47628632802429,4752
326,SAT-44-1,SAT-12-3,35,0,62.662846245984575,0
327,SAT-51-7,SAT-66-7,24,1,75.74845605818669,4752
328,SAT-51-0,SAT-70-19,23,0,51.252344056816234,0
329,SAT-15-21,SAT-21-2,10,0,30.303424701442278,0
330,SAT-33-7,SAT-69-19,47,1,121.35383688612333,4752
331,SAT-29-2,SAT-44-7,21,1,54.3717167479894,4752
332,SAT-28-11,SAT-70-19,39,2,95.61062022011134,9504
333,SAT-36-2,SAT-36-13,12,0,72.23047301722454,0
334,SAT-2-21,SAT-2-5,7,0,39.39843982757996,0
335,SAT-30-3,SAT-58-16,42,2,128.65304129379464,9504
336,SAT-69-19,SAT-6-14,15,2,46.74659729701707,9504
337,SAT-58-12,SAT-34-14,27,0,50.23831756219269,0
338,SAT-43-12,SAT-32-19,19,2,61.549272461646254,9504
339,SAT-68-19,SAT-19-6,35,2,105.27703984453841,9504
340,SAT-14-7,SAT-10-19,15,2,71.63289715396402,9504
341,SAT-37-0,SAT-47-12,21,2,81.11593999441178,9504
342,SAT-4-13,SAT-39-10,39,0,81.47647736139027,0
343,SAT-3-21,SAT-24-9,32,1,95.85442825487738,4752
344,SAT-62-21,SAT-32-6,40,2,101.87094698099703,9504
345,SAT-22-19,SAT-18-17,29,1,163.34762322248451,4752
346,SAT-32-20,SAT-13-1,23,0,55.07135495196234,0
347,SAT-58-18,SAT-19-18,76,2,323.2584560685269,9504
348,SAT-43-1,SAT-24-13,30,1,95.00599671041144,4752
349,SAT-12-2,SAT-55-12,40,1,107.37957974259714,4752
350,SAT-7-4,SAT-13-2,9,1,22.393435074579855,4752
351,SAT-58-18,SAT-54-3,12,0,51.72203183751997,0
352,SAT-3-20,SAT-40-15,43,1,99.98514029135922,4752
353,SAT-26-14,SAT-25-2,12,2,67.10336272229462,9504
