gamma,packets,avg hops,avg prop,sum fails,avg fails,sum overhead msg,avg overhead msg
0.001025,100050,25.16689655172414,118.36434985929397,514729,5.14471764117941,638324,6.3800499750124935
0.00105,100050,24.956991504247878,115.19259462246121,463209,4.629775112443778,571363,5.710774612693653
0.001,100050,25.18919540229885,121.79585914237931,592755,5.9245877061469265,740310,7.3994002998500745
0.001075,100050,24.87353323338331,112.222420216739,408459,4.0825487256371815,496811,4.965627186406796
0.0011,100050,24.78232883558221,109.5004639086709,357995,3.5781609195402297,428811,4.285967016491754
0.001125,100050,24.726036981509246,107.12811124573224,315944,3.1578610694652673,373523,3.7333633183408295
0.00115,100050,24.879460269865067,105.15473681201249,275647,2.7550924537731136,318544,3.183848075962019
0.001175,100050,24.749225387306346,103.02595544592401,242059,2.4193803098450775,273367,2.732303848075962
0.0012,100050,24.599170414792603,99.97280290701957,197375,1.9727636181909045,215959,2.1585107446276863
0.001225,100050,24.57129435282359,98.06174554524775,163748,1.6366616691654172,170475,1.7038980509745127
0.00125,100050,24.468925537231385,95.17733784956494,116642,1.1658370814592705,113273,1.1321639180409795
