gamma,packets,avg hops,avg prop,sum fails,avg fails,sum overhead msg,avg overhead msg
0.001,100050,25.19216391804098,124.25562780864502,308493,3.0833883058470763,1233972,12.333553223388305
0.00105,100050,25.073783108445777,118.27733381284403,238407,2.3828785607196403,953628,9.531514242878561
0.001025,100050,25.136021989005496,121.152933101726,269589,2.6945427286356822,1078356,10.778170914542729
0.001075,100050,25.151664167916042,116.0015975511793,209127,2.090224887556222,836508,8.360899550224888
0.0011,100050,25.081489255372315,113.62764114847067,181801,1.8171014492753623,727204,7.268405797101449
0.001125,100050,24.86461769115442,110.46848948844276,155989,1.5591104447776112,623956,6.236441779110445
0.00115,100050,24.92509745127436,107.8873537846033,133113,1.3304647676161918,532452,5.321859070464767
0.001175,100050,24.786266866566717,105.57870012394031,116129,1.1607096451774113,464516,4.642838580709645
0.0012,100050,24.67952023988006,103.04557978502179,97631,0.9758220889555222,390524,3.903288355822089
0.001225,100050,24.599330334832583,100.42737049123137,78769,0.787296351824088,315076,3.149185407296352
0.00125,100050,24.50439780109945,97.01076799648189,53061,0.5303448275862069,212244,2.1213793103448277
